Time: 0.020983
X,Y,UX,UY,Rho,P,E
0.0025,0.005,0,0,1,1,2.5
0.0025,0.015,0,0,1,1,2.5
0.0025,0.025,0,0,1,1,2.5
0.0025,0.035,0,0,1,1,2.5
0.0025,0.045,0,0,1,1,2.5
0.0025,0.055,0,0,1,1,2.5
0.0025,0.065,0,0,1,1,2.5
0.0025,0.075,0,0,1,1,2.5
0.0025,0.085,0,0,1,1,2.5
0.0025,0.095,0,0,1,1,2.5
0.0025,0.105,0,0,1,1,2.5
0.0025,0.115,0,0,1,1,2.5
0.0025,0.125,0,0,1,1,2.5
0.0025,0.135,0,0,1,1,2.5
0.0025,0.145,0,0,1,1,2.5
0.0025,0.155,0,0,1,1,2.5
0.0025,0.165,0,0,1,1,2.5
0.0025,0.175,0,0,1,1,2.5
0.0025,0.185,0,0,1,1,2.5
0.0025,0.195,0,0,1,1,2.5
0.0025,0.205,0,0,1,1,2.5
0.0025,0.215,0,0,1,1,2.5
0.0025,0.225,0,0,1,1,2.5
0.0025,0.235,0,0,1,1,2.5
0.0025,0.245,0,0,1,1,2.5
0.0025,0.255,0,0,1,1,2.5
0.0025,0.265,0,0,1,1,2.5
0.0025,0.275,0,0,1,1,2.5
0.0025,0.285,0,0,1,1,2.5
0.0025,0.295,0,0,1,1,2.5
0.0025,0.305,0,0,1,1,2.5
0.0025,0.315,0,0,1,1,2.5
0.0025,0.325,0,0,1,1,2.5
0.0025,0.335,0,0,1,1,2.5
0.0025,0.345,0,0,1,1,2.5
0.0025,0.355,0,0,1,1,2.5
0.0025,0.365,0,0,1,1,2.5
0.0025,0.375,0,0,1,1,2.5
0.0025,0.385,0,0,1,1,2.5
0.0025,0.395,0,0,1,1,2.5
0.0025,0.405,0,4.00818e-09,1,1,2.5
0.0025,0.415,7.88873e-10,2.36707e-07,1,1,2.5
0.0025,0.425,4.82584e-08,6.27069e-06,0.999995,0.999993,2.49998
0.0025,0.435,1.2151e-06,9.78215e-05,0.999918,0.999885,2.49971
0.0025,0.445,1.71369e-05,0.000991747,0.999171,0.998839,2.4971
0.0025,0.455,0.000150447,0.00682239,0.994306,0.99205,2.48015
0.0025,0.465,0.000854827,0.0327027,0.972833,0.962377,2.40646
0.0025,0.475,0.00319216,0.113582,0.907264,0.874141,2.19121
0.0025,0.485,0.00809232,0.306109,0.761522,0.689787,1.76017
0.0025,0.495,0.00374166,0.6028,0.586525,0.491121,1.33437
0.0025,0.505,0.00338764,0.966981,0.379845,0.28003,0.877665
0.0025,0.515,-0.000844416,0.923016,0.359292,0.298514,0.899337
0.0025,0.525,-0.00746907,0.894161,0.297664,0.288527,0.840322
0.0025,0.535,-0.0203903,0.707767,0.217696,0.232022,0.634625
0.0025,0.545,-0.00511977,0.228295,0.150791,0.13327,0.337106
0.0025,0.555,-0.000306716,0.0257011,0.127974,0.103404,0.258553
0.0025,0.565,-1.43411e-05,0.00169169,0.125198,0.100223,0.250557
0.0025,0.575,-4.11677e-07,7.72295e-05,0.125009,0.10001,0.250025
0.0025,0.585,-5.2824e-09,2.20941e-06,0.125,0.1,0.250001
0.0025,0.595,0,2.93836e-08,0.125,0.1,0.25
0.0025,0.605,0,0,0.125,0.1,0.25
0.0025,0.615,0,0,0.125,0.1,0.25
0.0025,0.625,0,0,0.125,0.1,0.25
0.0025,0.635,0,0,0.125,0.1,0.25
0.0025,0.645,0,0,0.125,0.1,0.25
0.0025,0.655,0,0,0.125,0.1,0.25
0.0025,0.665,0,0,0.125,0.1,0.25
0.0025,0.675,0,0,0.125,0.1,0.25
0.0025,0.685,0,0,0.125,0.1,0.25
0.0025,0.695,0,0,0.125,0.1,0.25
0.0025,0.705,0,0,0.125,0.1,0.25
0.0025,0.715,0,0,0.125,0.1,0.25
0.0025,0.725,0,0,0.125,0.1,0.25
0.0025,0.735,0,0,0.125,0.1,0.25
0.0025,0.745,0,0,0.125,0.1,0.25
0.0025,0.755,0,0,0.125,0.1,0.25
0.0025,0.765,0,0,0.125,0.1,0.25
0.0025,0.775,0,0,0.125,0.1,0.25
0.0025,0.785,0,0,0.125,0.1,0.25
0.0025,0.795,0,0,0.125,0.1,0.25
0.0025,0.805,0,0,0.125,0.1,0.25
0.0025,0.815,0,0,0.125,0.1,0.25
0.0025,0.825,0,0,0.125,0.1,0.25
0.0025,0.835,0,0,0.125,0.1,0.25
0.0025,0.845,0,0,0.125,0.1,0.25
0.0025,0.855,0,0,0.125,0.1,0.25
0.0025,0.865,0,0,0.125,0.1,0.25
0.0025,0.875,0,0,0.125,0.1,0.25
0.0025,0.885,0,0,0.125,0.1,0.25
0.0025,0.895,0,0,0.125,0.1,0.25
0.0025,0.905,0,0,0.125,0.1,0.25
0.0025,0.915,0,0,0.125,0.1,0.25
0.0025,0.925,0,0,0.125,0.1,0.25
0.0025,0.935,0,0,0.125,0.1,0.25
0.0025,0.945,0,0,0.125,0.1,0.25
0.0025,0.955,0,0,0.125,0.1,0.25
0.0025,0.965,0,0,0.125,0.1,0.25
0.0025,0.975,0,0,0.125,0.1,0.25
0.0025,0.985,0,0,0.125,0.1,0.25
0.0025,0.995,0,0,0.125,0.1,0.25
0.0075,0.005,0,0,1,1,2.5
0.0075,0.015,0,0,1,1,2.5
0.0075,0.025,0,0,1,1,2.5
0.0075,0.035,0,0,1,1,2.5
0.0075,0.045,0,0,1,1,2.5
0.0075,0.055,0,0,1,1,2.5
0.0075,0.065,0,0,1,1,2.5
0.0075,0.075,0,0,1,1,2.5
0.0075,0.085,0,0,1,1,2.5
0.0075,0.095,0,0,1,1,2.5
0.0075,0.105,0,0,1,1,2.5
0.0075,0.115,0,0,1,1,2.5
0.0075,0.125,0,0,1,1,2.5
0.0075,0.135,0,0,1,1,2.5
0.0075,0.145,0,0,1,1,2.5
0.0075,0.155,0,0,1,1,2.5
0.0075,0.165,0,0,1,1,2.5
0.0075,0.175,0,0,1,1,2.5
0.0075,0.185,0,0,1,1,2.5
0.0075,0.195,0,0,1,1,2.5
0.0075,0.205,0,0,1,1,2.5
0.0075,0.215,0,0,1,1,2.5
0.0075,0.225,0,0,1,1,2.5
0.0075,0.235,0,0,1,1,2.5
0.0075,0.245,0,0,1,1,2.5
0.0075,0.255,0,0,1,1,2.5
0.0075,0.265,0,0,1,1,2.5
0.0075,0.275,0,0,1,1,2.5
0.0075,0.285,0,0,1,1,2.5
0.0075,0.295,0,0,1,1,2.5
0.0075,0.305,0,0,1,1,2.5
0.0075,0.315,0,0,1,1,2.5
0.0075,0.325,0,0,1,1,2.5
0.0075,0.335,0,0,1,1,2.5
0.0075,0.345,0,0,1,1,2.5
0.0075,0.355,0,0,1,1,2.5
0.0075,0.365,0,0,1,1,2.5
0.0075,0.375,0,0,1,1,2.5
0.0075,0.385,0,0,1,1,2.5
0.0075,0.395,0,0,1,1,2.5
0.0075,0.405,0,4.00818e-09,1,1,2.5
0.0075,0.415,0,2.39662e-07,1,1,2.5
0.0075,0.425,7.14095e-09,6.38585e-06,0.999995,0.999992,2.49998
0.0075,0.435,3.44367e-07,9.97817e-05,0.999916,0.999882,2.49971
0.0075,0.445,6.93333e-06,0.00101045,0.99915,0.99881,2.49703
0.0075,0.455,7.69895e-05,0.00692978,0.994178,0.991873,2.47971
0.0075,0.465,0.000519446,0.0330849,0.972359,0.961723,2.40484
0.0075,0.475,0.00221789,0.114459,0.906215,0.872728,2.18776
0.0075,0.485,0.00619439,0.307304,0.760462,0.688395,1.75691
0.0075,0.495,0.00429509,0.602009,0.587217,0.491808,1.33593
0.0075,0.505,0.00350403,0.96582,0.380574,0.280676,0.879194
0.0075,0.515,-0.00162315,0.921639,0.359615,0.298885,0.899945
0.0075,0.525,-0.0103848,0.891163,0.296448,0.287195,0.83572
0.0075,0.535,-0.0137785,0.704769,0.218198,0.232842,0.636315
0.0075,0.545,-0.00282011,0.230334,0.15124,0.133852,0.338643
0.0075,0.555,-0.000139629,0.0262125,0.128047,0.103489,0.258767
0.0075,0.565,-3.95776e-06,0.00172713,0.125203,0.100228,0.250571
0.0075,0.575,-5.20622e-08,7.85821e-05,0.125009,0.10001,0.250026
0.0075,0.585,0,2.23115e-06,0.125,0.1,0.250001
0.0075,0.595,0,2.93836e-08,0.125,0.1,0.25
0.0075,0.605,0,0,0.125,0.1,0.25
0.0075,0.615,0,0,0.125,0.1,0.25
0.0075,0.625,0,0,0.125,0.1,0.25
0.0075,0.635,0,0,0.125,0.1,0.25
0.0075,0.645,0,0,0.125,0.1,0.25
0.0075,0.655,0,0,0.125,0.1,0.25
0.0075,0.665,0,0,0.125,0.1,0.25
0.0075,0.675,0,0,0.125,0.1,0.25
0.0075,0.685,0,0,0.125,0.1,0.25
0.0075,0.695,0,0,0.125,0.1,0.25
0.0075,0.705,0,0,0.125,0.1,0.25
0.0075,0.715,0,0,0.125,0.1,0.25
0.0075,0.725,0,0,0.125,0.1,0.25
0.0075,0.735,0,0,0.125,0.1,0.25
0.0075,0.745,0,0,0.125,0.1,0.25
0.0075,0.755,0,0,0.125,0.1,0.25
0.0075,0.765,0,0,0.125,0.1,0.25
0.0075,0.775,0,0,0.125,0.1,0.25
0.0075,0.785,0,0,0.125,0.1,0.25
0.0075,0.795,0,0,0.125,0.1,0.25
0.0075,0.805,0,0,0.125,0.1,0.25
0.0075,0.815,0,0,0.125,0.1,0.25
0.0075,0.825,0,0,0.125,0.1,0.25
0.0075,0.835,0,0,0.125,0.1,0.25
0.0075,0.845,0,0,0.125,0.1,0.25
0.0075,0.855,0,0,0.125,0.1,0.25
0.0075,0.865,0,0,0.125,0.1,0.25
0.0075,0.875,0,0,0.125,0.1,0.25
0.0075,0.885,0,0,0.125,0.1,0.25
0.0075,0.895,0,0,0.125,0.1,0.25
0.0075,0.905,0,0,0.125,0.1,0.25
0.0075,0.915,0,0,0.125,0.1,0.25
0.0075,0.925,0,0,0.125,0.1,0.25
0.0075,0.935,0,0,0.125,0.1,0.25
0.0075,0.945,0,0,0.125,0.1,0.25
0.0075,0.955,0,0,0.125,0.1,0.25
0.0075,0.965,0,0,0.125,0.1,0.25
0.0075,0.975,0,0,0.125,0.1,0.25
0.0075,0.985,0,0,0.125,0.1,0.25
0.0075,0.995,0,0,0.125,0.1,0.25
0.0125,0.005,0,0,1,1,2.5
0.0125,0.015,0,0,1,1,2.5
0.0125,0.025,0,0,1,1,2.5
0.0125,0.035,0,0,1,1,2.5
0.0125,0.045,0,0,1,1,2.5
0.0125,0.055,0,0,1,1,2.5
0.0125,0.065,0,0,1,1,2.5
0.0125,0.075,0,0,1,1,2.5
0.0125,0.085,0,0,1,1,2.5
0.0125,0.095,0,0,1,1,2.5
0.0125,0.105,0,0,1,1,2.5
0.0125,0.115,0,0,1,1,2.5
