Time: 0.060484
X,Y,UX,UY,Rho,P,E
0.0025,0.005,0,0,1,1,2.5
0.0025,0.015,0,0,1,1,2.5
0.0025,0.025,0,0,1,1,2.5
0.0025,0.035,0,0,1,1,2.5
0.0025,0.045,0,0,1,1,2.5
0.0025,0.055,0,0,1,1,2.5
0.0025,0.065,0,0,1,1,2.5
0.0025,0.075,0,0,1,1,2.5
0.0025,0.085,0,0,1,1,2.5
0.0025,0.095,0,0,1,1,2.5
0.0025,0.105,0,0,1,1,2.5
0.0025,0.115,0,0,1,1,2.5
0.0025,0.125,0,0,1,1,2.5
0.0025,0.135,0,0,1,1,2.5
0.0025,0.145,0,0,1,1,2.5
0.0025,0.155,0,0,1,1,2.5
0.0025,0.165,0,0,1,1,2.5
0.0025,0.175,0,0,1,1,2.5
0.0025,0.185,0,0,1,1,2.5
0.0025,0.195,0,0,1,1,2.5
0.0025,0.205,0,0,1,1,2.5
0.0025,0.215,0,0,1,1,2.5
0.0025,0.225,0,0,1,1,2.5
0.0025,0.235,0,0,1,1,2.5
0.0025,0.245,0,0,1,1,2.5
0.0025,0.255,0,0,1,1,2.5
0.0025,0.265,0,4.30785e-17,1,1,2.5
0.0025,0.275,0,6.89604e-16,1,1,2.5
0.0025,0.285,0,1.71553e-14,1,1,2.5
0.0025,0.295,0,3.46188e-13,1,1,2.5
0.0025,0.305,0,5.94474e-12,1,1,2.5
0.0025,0.315,0,8.80378e-11,1,1,2.5
0.0025,0.325,0,1.12961e-09,1,1,2.5
0.0025,0.335,0,1.25989e-08,1,1,2.5
0.0025,0.345,0,1.22353e-07,1,1,2.5
0.0025,0.355,0,1.03478e-06,0.999999,0.999999,2.5
0.0025,0.365,0,7.61073e-06,0.999994,0.999991,2.49998
0.0025,0.375,0,4.8528e-05,0.999959,0.999943,2.49986
0.0025,0.385,0,0.000266876,0.999774,0.999684,2.49921
0.0025,0.395,0,0.00125655,0.998938,0.998514,2.49629
0.0025,0.405,0,0.00501924,0.995762,0.994075,2.4852
0.0025,0.415,0,0.0168639,0.985807,0.980206,2.45065
0.0025,0.425,0,0.0475096,0.960376,0.945061,2.36374
0.0025,0.435,0,0.113531,0.907247,0.872908,2.18812
0.0025,0.445,0,0.228392,0.819867,0.757772,1.91581
0.0025,0.455,0,0.354929,0.740834,0.65728,1.68986
0.0025,0.465,0,0.461032,0.660329,0.558297,1.46592
0.0025,0.475,0,0.577448,0.588676,0.477491,1.29187
0.0025,0.485,0,0.712206,0.534277,0.415508,1.17427
0.0025,0.495,0,0.84819,0.473085,0.34712,1.03797
0.0025,0.505,0,0.96659,0.410182,0.288689,0.913338
0.0025,0.515,0,0.915397,0.421681,0.305315,0.93996
0.0025,0.525,0,0.917753,0.414193,0.301321,0.927732
0.0025,0.535,0,0.922654,0.405079,0.301733,0.926753
0.0025,0.545,0,0.92809,0.388997,0.303358,0.925927
0.0025,0.555,0,0.934736,0.357248,0.305403,0.919577
0.0025,0.565,0,0.943852,0.307447,0.308619,0.908492
0.0025,0.575,0,0.952294,0.275944,0.312408,0.906142
0.0025,0.585,0,0.947826,0.262033,0.310007,0.89272
0.0025,0.595,0,0.902302,0.25333,0.295389,0.841597
0.0025,0.605,0,0.593598,0.201762,0.206538,0.551891
0.0025,0.615,0,0.0977881,0.136199,0.113482,0.284355
0.0025,0.625,0,0.00770902,0.125908,0.101023,0.25256
0.0025,0.635,0,0.000570125,0.125067,0.100075,0.250189
0.0025,0.645,0,4.03063e-05,0.125005,0.100005,0.250013
0.0025,0.655,0,2.74629e-06,0.125,0.1,0.250001
0.0025,0.665,0,1.76878e-07,0.125,0.1,0.25
0.0025,0.675,0,1.06532e-08,0.125,0.1,0.25
0.0025,0.685,0,5.92064e-10,0.125,0.1,0.25
0.0025,0.695,0,2.99568e-11,0.125,0.1,0.25
0.0025,0.705,0,1.35952e-12,0.125,0.1,0.25
0.0025,0.715,0,5.44383e-14,0.125,0.1,0.25
0.0025,0.725,0,1.85311e-15,0.125,0.1,0.25
0.0025,0.735,0,2.15392e-17,0.125,0.1,0.25
0.0025,0.745,0,0,0.125,0.1,0.25
0.0025,0.755,0,0,0.125,0.1,0.25
0.0025,0.765,0,0,0.125,0.1,0.25
0.0025,0.775,0,0,0.125,0.1,0.25
0.0025,0.785,0,0,0.125,0.1,0.25
0.0025,0.795,0,0,0.125,0.1,0.25
0.0025,0.805,0,0,0.125,0.1,0.25
0.0025,0.815,0,0,0.125,0.1,0.25
0.0025,0.825,0,0,0.125,0.1,0.25
0.0025,0.835,0,0,0.125,0.1,0.25
0.0025,0.845,0,0,0.125,0.1,0.25
0.0025,0.855,0,0,0.125,0.1,0.25
0.0025,0.865,0,0,0.125,0.1,0.25
0.0025,0.875,0,0,0.125,0.1,0.25
0.0025,0.885,0,0,0.125,0.1,0.25
0.0025,0.895,0,0,0.125,0.1,0.25
0.0025,0.905,0,0,0.125,0.1,0.25
0.0025,0.915,0,0,0.125,0.1,0.25
0.0025,0.925,0,0,0.125,0.1,0.25
0.0025,0.935,0,0,0.125,0.1,0.25
0.0025,0.945,0,0,0.125,0.1,0.25
0.0025,0.955,0,0,0.125,0.1,0.25
0.0025,0.965,0,0,0.125,0.1,0.25
0.0025,0.975,0,0,0.125,0.1,0.25
0.0025,0.985,0,0,0.125,0.1,0.25
0.0025,0.995,0,0,0.125,0.1,0.25
0.0075,0.005,0,0,1,1,2.5
0.0075,0.015,0,0,1,1,2.5
0.0075,0.025,0,0,1,1,2.5
0.0075,0.035,0,0,1,1,2.5
0.0075,0.045,0,0,1,1,2.5
0.0075,0.055,0,0,1,1,2.5
0.0075,0.065,0,0,1,1,2.5
0.0075,0.075,0,0,1,1,2.5
0.0075,0.085,0,0,1,1,2.5
0.0075,0.095,0,0,1,1,2.5
0.0075,0.105,0,0,1,1,2.5
0.0075,0.115,0,0,1,1,2.5
0.0075,0.125,0,0,1,1,2.5
0.0075,0.135,0,0,1,1,2.5
0.0075,0.145,0,0,1,1,2.5
0.0075,0.155,0,0,1,1,2.5
0.0075,0.165,0,0,1,1,2.5
0.0075,0.175,0,0,1,1,2.5
0.0075,0.185,0,0,1,1,2.5
0.0075,0.195,0,0,1,1,2.5
0.0075,0.205,0,0,1,1,2.5
0.0075,0.215,0,0,1,1,2.5
0.0075,0.225,0,0,1,1,2.5
0.0075,0.235,0,0,1,1,2.5
0.0075,0.245,0,0,1,1,2.5
0.0075,0.255,0,0,1,1,2.5
0.0075,0.265,0,4.30785e-17,1,1,2.5
0.0075,0.275,0,6.89604e-16,1,1,2.5
0.0075,0.285,0,1.71553e-14,1,1,2.5
0.0075,0.295,0,3.46188e-13,1,1,2.5
0.0075,0.305,0,5.94474e-12,1,1,2.5
0.0075,0.315,0,8.80378e-11,1,1,2.5
0.0075,0.325,0,1.12961e-09,1,1,2.5
0.0075,0.335,0,1.25989e-08,1,1,2.5
0.0075,0.345,0,1.22353e-07,1,1,2.5
0.0075,0.355,0,1.03478e-06,0.999999,0.999999,2.5
0.0075,0.365,0,7.61073e-06,0.999994,0.999991,2.49998
0.0075,0.375,0,4.8528e-05,0.999959,0.999943,2.49986
0.0075,0.385,0,0.000266876,0.999774,0.999684,2.49921
0.0075,0.395,0,0.00125655,0.998938,0.998514,2.49629
0.0075,0.405,0,0.00501924,0.995762,0.994075,2.4852
0.0075,0.415,0,0.0168639,0.985807,0.980206,2.45065
0.0075,0.425,0,0.0475096,0.960376,0.945061,2.36374
0.0075,0.435,0,0.113531,0.907247,0.872908,2.18812
0.0075,0.445,0,0.228392,0.819867,0.757772,1.91581
0.0075,0.455,0,0.354929,0.740834,0.65728,1.68986
0.0075,0.465,0,0.461032,0.660329,0.558297,1.46592
0.0075,0.475,0,0.577448,0.588676,0.477491,1.29187
0.0075,0.485,0,0.712206,0.534277,0.415508,1.17427
0.0075,0.495,0,0.84819,0.473085,0.34712,1.03797
0.0075,0.505,0,0.96659,0.410182,0.288689,0.913338
0.0075,0.515,0,0.915397,0.421681,0.305315,0.93996
0.0075,0.525,0,0.917753,0.414193,0.301321,0.927732
0.0075,0.535,0,0.922654,0.405079,0.301733,0.926753
0.0075,0.545,0,0.92809,0.388997,0.303358,0.925927
0.0075,0.555,0,0.934736,0.357248,0.305403,0.919577
0.0075,0.565,0,0.943852,0.307447,0.308619,0.908492
0.0075,0.575,0,0.952294,0.275944,0.312408,0.906142
0.0075,0.585,0,0.947826,0.262033,0.310007,0.89272
0.0075,0.595,0,0.902302,0.25333,0.295389,0.841597
0.0075,0.605,0,0.593598,0.201762,0.206538,0.551891
0.0075,0.615,0,0.0977881,0.136199,0.113482,0.284355
0.0075,0.625,0,0.00770902,0.125908,0.101023,0.25256
0.0075,0.635,0,0.000570125,0.125067,0.100075,0.250189
0.0075,0.645,0,4.03063e-05,0.125005,0.100005,0.250013
0.0075,0.655,0,2.74629e-06,0.125,0.1,0.250001
0.0075,0.665,0,1.76878e-07,0.125,0.1,0.25
0.0075,0.675,0,1.06532e-08,0.125,0.1,0.25
0.0075,0.685,0,5.92064e-10,0.125,0.1,0.25
0.0075,0.695,0,2.99568e-11,0.125,0.1,0.25
0.0075,0.705,0,1.35952e-12,0.125,0.1,0.25
0.0075,0.715,0,5.44383e-14,0.125,0.1,0.25
0.0075,0.725,0,1.85311e-15,0.125,0.1,0.25
0.0075,0.735,0,2.15392e-17,0.125,0.1,0.25
0.0075,0.745,0,0,0.125,0.1,0.25
0.0075,0.755,0,0,0.125,0.1,0.25
0.0075,0.765,0,0,0.125,0.1,0.25
0.0075,0.775,0,0,0.125,0.1,0.25
0.0075,0.785,0,0,0.125,0.1,0.25
0.0075,0.795,0,0,0.125,0.1,0.25
0.0075,0.805,0,0,0.125,0.1,0.25
0.0075,0.815,0,0,0.125,0.1,0.25
0.0075,0.825,0,0,0.125,0.1,0.25
0.0075,0.835,0,0,0.125,0.1,0.25
0.0075,0.845,0,0,0.125,0.1,0.25
0.0075,0.855,0,0,0.125,0.1,0.25
0.0075,0.865,0,0,0.125,0.1,0.25
0.0075,0.875,0,0,0.125,0.1,0.25
0.0075,0.885,0,0,0.125,0.1,0.25
0.0075,0.895,0,0,0.125,0.1,0.25
0.0075,0.905,0,0,0.125,0.1,0.25
0.0075,0.915,0,0,0.125,0.1,0.25
0.0075,0.925,0,0,0.125,0.1,0.25
0.0075,0.935,0,0,0.125,0.1,0.25
0.0075,0.945,0,0,0.125,0.1,0.25
0.0075,0.955,0,0,0.125,0.1,0.25
0.0075,0.965,0,0,0.125,0.1,0.25
0.0075,0.975,0,0,0.125,0.1,0.25
0.0075,0.985,0,0,0.125,0.1,0.25
0.0075,0.995,0,0,0.125,0.1,0.25
0.0125,0.005,0,0,1,1,2.5
