Time,X,Rho,P,U,W
0.000222,0.181439,101483.113944,414532.462213,816.496581,0.000000
0.000222,0.222720,53.320764,42339632.013569,793.105897,0.000000
0.000222,0.301641,58.415304,57404268.825830,1434.910824,0.000000
0.000222,0.369822,72.084940,60079055.591016,483.467393,0.064938
0.000222,0.432493,68.427767,51093727.433675,25.443104,0.143233
0.000222,0.542598,28.221660,18986309.131601,-311.125371,0.000000
0.000222,0.648402,78.993461,72240745.753690,-104.561679,0.000000
0.000222,0.738121,35.559466,26262127.752492,20.085254,0.000000
0.000222,0.861508,35.761235,26485080.208708,-0.744039,0.000000
0.000222,0.949927,81.785773,75741299.939177,-47.020890,0.000000
0.000222,1.036499,36.867897,27675530.553267,40.715014,0.000000
0.000222,1.150000,40.870541,31904612.059924,-91.499965,0.000000
0.000222,1.263493,36.872722,27681307.183698,91.484850,0.000000
0.000222,1.349998,81.966484,75965281.009082,-41.580999,0.000000
0.000222,1.436398,36.937926,27754849.865440,41.336310,0.000000
0.000222,1.547979,42.290228,33418189.907607,-100.288354,0.000000
0.000222,1.652022,42.290155,33418116.277614,0.000151,0.000000
0.000222,1.763610,36.933061,27748994.958315,100.303443,0.000000
0.000222,1.850078,81.783994,75739128.842163,-40.464746,0.000000
0.000222,1.938671,35.660481,26378242.096968,47.352791,0.000000
0.000222,2.069035,32.036769,22792926.087936,17.197769,0.000000
0.000222,2.169084,70.112022,55041439.200699,356.856480,0.106161
0.000222,2.232568,68.524028,51303344.267499,20.594469,0.141065
0.000222,2.342966,28.099922,18875797.245715,-309.424325,0.000000
0.000222,2.450000,76.542211,69213898.937841,-78.642644,0.000000
0.000222,2.557055,28.092456,18870455.298042,78.653285,0.000000
0.000222,2.667684,68.077704,50233530.528994,312.468891,0.151169
0.000222,2.732316,68.077916,50233998.135072,0.000526,0.151164
0.000222,2.842945,28.092444,18870444.222389,-312.469344,0.000000
0.000222,2.950000,76.542084,69213755.369505,-78.653088,0.000000
0.000222,3.057055,28.092455,18870454.988899,78.653016,0.000000
0.000222,3.167684,68.077704,50233530.517966,312.468891,0.151169
0.000222,3.232316,68.077916,50233998.134859,0.000526,0.151164
0.000222,3.342945,28.092444,18870444.221042,-312.469344,0.000000
0.000222,3.450000,76.542082,69213753.705952,-78.653086,0.000000
0.000222,3.557056,28.092307,18870361.018010,78.653168,0.000000
0.000222,3.667692,68.062670,50196958.283695,312.547707,0.151511
