Time,X,Rho,P,U
0.000045,0.038874,2.689083,2806047.789893,705.443931
0.000045,0.042553,2.747641,2886157.717840,701.419276
0.000045,0.046145,2.821349,2904945.463396,700.638015
0.000045,0.049681,2.834860,2906120.141150,700.707224
0.000045,0.053203,2.843994,2913644.213260,705.016287
0.000045,0.056713,2.854000,2926256.888351,712.350228
0.000045,0.060213,2.859798,2925809.862946,717.516519
0.000045,0.063707,2.864991,2918809.363540,719.989970
0.000045,0.067202,2.857909,2897670.790351,720.242683
0.000045,0.070707,2.848448,2874768.876206,719.516236
0.000045,0.074232,2.824342,2835030.899798,717.700131
0.000045,0.077794,2.791049,2784538.286057,713.894802
0.000045,0.081203,3.090396,2708252.532481,707.373837
0.000045,0.084454,3.062286,2622537.903976,697.424994
0.000045,0.087740,3.025083,2509503.825210,683.141127
0.000045,0.091074,2.974171,2361849.465132,663.187228
0.000045,0.094475,2.907228,2176858.553719,635.860453
0.000045,0.097964,2.825720,1956820.071433,599.275189
0.000045,0.101564,2.730850,1706469.698512,551.511213
0.000045,0.105305,2.618010,1420538.421012,490.006487
0.000045,0.109221,2.492296,1112126.424825,411.666264
0.000045,0.113356,2.348992,774825.525514,311.976553
0.000045,0.117774,2.183619,401199.464734,172.785453
0.000045,0.122532,2.026175,56661.791830,43.974792
0.000045,0.127500,1.999765,101325.000000,-0.791207
0.000045,0.132500,2.000000,101325.000000,0.000011
0.000045,0.137500,2.000000,101325.000000,0.000000
0.000045,0.142500,2.000000,101325.000000,0.000000
0.000045,0.147500,2.000000,101325.000000,0.000000
0.000045,0.152500,2.000000,101325.000000,0.000000
0.000045,0.157500,2.000000,101325.000000,0.000000
0.000045,0.162500,2.000000,101325.000000,0.000000
0.000045,0.167500,2.000000,101325.000000,0.000000
0.000045,0.172500,2.000000,101325.000000,0.000000
0.000045,0.177500,2.000000,101325.000000,0.000000
0.000045,0.182500,2.000000,101325.000000,0.000000
0.000045,0.187500,2.000000,101325.000000,0.000000
0.000045,0.192500,2.000000,101325.000000,0.000000
0.000045,0.197500,2.000000,101325.000000,0.000000
0.000045,0.202500,2.000000,101325.000000,0.000000
0.000045,0.207500,2.000000,101325.000000,0.000000
0.000045,0.212500,2.000000,101325.000000,0.000000
0.000045,0.217500,2.000000,101325.000000,0.000000
0.000045,0.222500,2.000000,101325.000000,0.000000
0.000045,0.227500,2.000000,101325.000000,0.000000
0.000045,0.232500,2.000000,101325.000000,0.000000
0.000045,0.237500,2.000000,101325.000000,0.000000
0.000045,0.242500,2.000000,101325.000000,0.000000
0.000045,0.247500,2.000000,101325.000000,0.000000
0.000045,0.252500,2.000000,101325.000000,0.000000
0.000045,0.257500,2.000000,101325.000000,0.000000
0.000045,0.262500,2.000000,101325.000000,0.000000
0.000045,0.267500,2.000000,101325.000000,0.000000
0.000045,0.272500,2.000000,101325.000000,0.000000
0.000045,0.277500,2.000000,101325.000000,0.000000
0.000045,0.282500,2.000000,101325.000000,0.000000
0.000045,0.287500,2.000000,101325.000000,0.000000
0.000045,0.292500,2.000000,101325.000000,0.000000
0.000045,0.297500,2.000000,101325.000000,0.000000
0.000045,0.302500,2.000000,101325.000000,0.000000
0.000045,0.307500,2.000000,101325.000000,0.000000
0.000045,0.312500,2.000000,101325.000000,0.000000
0.000045,0.317500,2.000000,101325.000000,0.000000
0.000045,0.322500,2.000000,101325.000000,0.000000
0.000045,0.327500,2.000000,101325.000000,0.000000
0.000045,0.332500,2.000000,101325.000000,0.000000
0.000045,0.337500,2.000000,101325.000000,0.000000
0.000045,0.342500,2.000000,101325.000000,0.000000
0.000045,0.347500,2.000000,101325.000000,0.000000
0.000045,0.352500,2.000000,101325.000000,0.000000
0.000045,0.357500,2.000000,101325.000000,0.000000
0.000045,0.362500,2.000000,101325.000000,0.000000
0.000045,0.367500,2.000000,101325.000000,0.000000
0.000045,0.372500,2.000000,101325.000000,0.000000
0.000045,0.377500,2.000000,101325.000000,0.000000
0.000045,0.382500,2.000000,101325.000000,0.000000
0.000045,0.387500,2.000000,101325.000000,0.000000
0.000045,0.392500,2.000000,101325.000000,0.000000
0.000045,0.397500,2.000000,101325.000000,0.000000
0.000045,0.402500,2.000000,101325.000000,0.000000
0.000045,0.407500,2.000000,101325.000000,0.000000
0.000045,0.412500,2.000000,101325.000000,0.000000
0.000045,0.417500,2.000000,101325.000000,0.000000
0.000045,0.422500,2.000000,101325.000000,0.000000
0.000045,0.427500,2.000000,101325.000000,0.000000
