Time,X,Rho,P,U
0.000041,0.007800,8118.592679,5361049404.133384,149.999306
0.000041,0.011023,8118.593608,5361066662.999794,149.998299
0.000041,0.014246,8118.594196,5361077597.692587,149.997986
0.000041,0.017469,8118.594149,5361076720.794470,149.998080
0.000041,0.020692,8118.593216,5361059386.474190,149.998120
0.000041,0.023915,8118.592220,5361040870.485731,149.997813
0.000041,0.027138,8118.591258,5361022995.611879,149.997020
0.000041,0.030362,8118.593037,5361056048.439198,149.995834
0.000041,0.033585,8118.592661,5361049072.443847,149.994592
0.000041,0.036808,8118.592377,5361043803.203100,149.993901
0.000041,0.040031,8118.591501,5361027515.985727,149.993498
0.000041,0.043254,8118.591892,5361034792.957794,149.993906
0.000041,0.046477,8118.591687,5361030968.436212,149.993926
0.000041,0.049700,8118.590618,5361011105.429226,149.993177
0.000041,0.052923,8118.591390,5361025464.864056,149.992081
0.000041,0.056146,8118.585809,5360921765.643174,149.990763
0.000041,0.059369,8118.590803,5361014556.568400,149.990884
0.000041,0.062592,8118.589433,5360989093.635938,149.989975
0.000041,0.065815,8118.589842,5360996697.423355,149.990064
0.000041,0.069038,8118.591596,5361029293.092248,149.989238
0.000041,0.072261,8118.581746,5360846282.644676,149.986781
0.000041,0.075484,8118.588946,5360980044.645069,149.987629
0.000041,0.078707,8118.582384,5360858135.652210,149.985843
0.000041,0.081930,8118.581135,5360834919.185038,149.986873
0.000041,0.085153,8118.593769,5361069666.588161,149.988591
0.000041,0.088377,8118.574216,5360706365.218507,149.982221
0.000041,0.091600,8118.580674,5360826351.829678,149.983675
0.000041,0.094823,8118.591084,5361019767.396675,149.983358
0.000041,0.098046,8118.561229,5360465088.861578,149.976558
0.000041,0.101269,8118.585843,5360922390.673631,149.985265
0.000041,0.104492,8118.595461,5361101090.703729,149.983309
0.000041,0.107715,8118.537190,5360018447.535007,149.968355
0.000041,0.110938,8118.574564,5360712842.773658,149.981509
0.000041,0.114161,8118.605782,5361292859.596094,149.983725
0.000041,0.117384,8118.506249,5359443559.874131,149.951342
0.000041,0.120607,8118.531984,5359921719.513662,149.964483
0.000041,0.123830,8118.636207,5361858128.278491,149.993698
0.000041,0.127053,8118.500068,5359328718.825809,149.929473
0.000041,0.130276,8118.346804,5356481040.764544,149.893534
0.000041,0.133500,8118.584123,5360890449.349504,149.983201
0.000041,0.136723,8118.677558,5362626396.800639,149.985063
0.000041,0.139946,8118.185437,5353482689.889561,149.767111
0.000041,0.143169,8117.888666,5347968092.987238,149.706242
0.000041,0.146392,8118.556048,5360368822.557943,149.975717
0.000041,0.149615,8118.914114,5367021251.919467,150.059543
0.000041,0.152838,8117.791217,5346157218.989367,149.399571
0.000041,0.156062,8115.404311,5301788024.402194,148.473139
0.000041,0.159286,8115.759279,5308388019.790906,148.817357
0.000041,0.162510,8118.983185,5368304446.616018,150.234941
0.000041,0.165732,8120.746725,5401059762.478032,150.953743
0.000041,0.168955,8119.061445,5369758309.770384,149.736212
0.000041,0.172179,8111.247474,5224455992.153394,145.083055
0.000041,0.175409,8093.460430,4892656175.610028,134.909252
0.000041,0.178648,8062.310506,4308057971.329935,117.484594
0.000041,0.181903,8017.991195,3468477829.817440,93.272136
0.000041,0.185176,7968.190333,2513912090.387682,66.559739
0.000041,0.188469,7924.955196,1675467093.187999,43.487864
0.000041,0.191777,7895.494349,1098882095.837161,27.670314
0.000041,0.195095,7879.030707,774790275.100923,18.735760
0.000041,0.198418,7871.089281,617976187.834918,14.384525
0.000041,0.201743,7867.656678,550096839.049874,12.483920
0.000041,0.205069,7866.270317,522664910.343295,11.711504
0.000041,0.208395,7865.729435,511959857.547084,11.408177
