Time,X,Rho,P,U
0.200000,0.001250,1.000000,1.000000,0.000000
0.200000,0.003750,1.000000,1.000000,0.000000
0.200000,0.006250,1.000000,1.000000,0.000000
0.200000,0.008750,1.000000,1.000000,0.000000
0.200000,0.011250,1.000000,1.000000,0.000000
0.200000,0.013750,1.000000,1.000000,0.000000
0.200000,0.016250,1.000000,1.000000,0.000000
0.200000,0.018750,1.000000,1.000000,0.000000
0.200000,0.021250,1.000000,1.000000,0.000000
0.200000,0.023750,1.000000,1.000000,0.000000
0.200000,0.026250,1.000000,1.000000,0.000000
0.200000,0.028750,1.000000,1.000000,0.000000
0.200000,0.031250,1.000000,1.000000,0.000000
0.200000,0.033750,1.000000,1.000000,0.000000
0.200000,0.036250,1.000000,1.000000,0.000000
0.200000,0.038750,1.000000,1.000000,0.000000
0.200000,0.041250,1.000000,1.000000,0.000000
0.200000,0.043750,1.000000,1.000000,0.000000
0.200000,0.046250,1.000000,1.000000,0.000000
0.200000,0.048750,1.000000,1.000000,0.000000
0.200000,0.051250,1.000000,1.000000,0.000000
0.200000,0.053750,1.000000,1.000000,0.000000
0.200000,0.056250,1.000000,1.000000,0.000000
0.200000,0.058750,1.000000,1.000000,0.000000
0.200000,0.061250,1.000000,1.000000,0.000000
0.200000,0.063750,1.000000,1.000000,0.000000
0.200000,0.066250,1.000000,1.000000,0.000000
0.200000,0.068750,1.000000,1.000000,0.000000
0.200000,0.071250,1.000000,1.000000,0.000000
0.200000,0.073750,1.000000,1.000000,0.000000
0.200000,0.076250,1.000000,1.000000,0.000000
0.200000,0.078750,1.000000,1.000000,0.000000
0.200000,0.081250,1.000000,1.000000,0.000000
0.200000,0.083750,1.000000,1.000000,0.000000
0.200000,0.086250,1.000000,1.000000,0.000000
0.200000,0.088750,1.000000,1.000000,0.000000
0.200000,0.091250,1.000000,1.000000,0.000000
0.200000,0.093750,1.000000,1.000000,0.000000
0.200000,0.096250,1.000000,1.000000,0.000000
0.200000,0.098750,1.000000,1.000000,0.000000
0.200000,0.101250,1.000000,1.000000,0.000000
0.200000,0.103750,1.000000,1.000000,0.000000
0.200000,0.106250,1.000000,1.000000,0.000000
0.200000,0.108750,1.000000,1.000000,0.000000
0.200000,0.111250,1.000000,1.000000,0.000000
0.200000,0.113750,1.000000,1.000000,0.000000
0.200000,0.116250,1.000000,1.000000,0.000000
0.200000,0.118750,1.000000,1.000000,0.000000
0.200000,0.121250,1.000000,1.000000,0.000000
0.200000,0.123750,1.000000,1.000000,0.000000
0.200000,0.126250,1.000000,1.000000,0.000000
0.200000,0.128750,1.000000,1.000000,0.000000
0.200000,0.131250,1.000000,1.000000,0.000000
0.200000,0.133750,1.000000,1.000000,0.000000
0.200000,0.136250,1.000000,1.000000,0.000000
0.200000,0.138750,1.000000,1.000000,0.000000
0.200000,0.141250,1.000000,1.000000,0.000000
0.200000,0.143750,1.000000,1.000000,0.000000
0.200000,0.146250,1.000000,1.000000,0.000000
0.200000,0.148750,1.000000,1.000000,0.000000
0.200000,0.151250,1.000000,1.000000,0.000000
0.200000,0.153750,1.000000,1.000000,0.000000
0.200000,0.156250,1.000000,1.000000,0.000000
0.200000,0.158750,1.000000,1.000000,0.000000
0.200000,0.161250,1.000000,1.000000,0.000000
0.200000,0.163750,1.000000,1.000000,0.000000
0.200000,0.166250,1.000000,1.000000,0.000000
0.200000,0.168750,1.000000,1.000000,0.000000
0.200000,0.171250,1.000000,1.000000,0.000000
0.200000,0.173750,1.000000,1.000000,0.000000
0.200000,0.176250,1.000000,1.000000,0.000000
0.200000,0.178750,1.000000,1.000000,0.000000
0.200000,0.181250,1.000000,1.000000,0.000000
0.200000,0.183750,1.000000,1.000000,0.000000
0.200000,0.186250,1.000000,1.000000,0.000000
0.200000,0.188750,1.000000,1.000000,0.000000
0.200000,0.191250,1.000000,1.000000,0.000000
0.200000,0.193750,1.000000,1.000000,0.000000
0.200000,0.196250,1.000000,1.000000,0.000000
0.200000,0.198750,1.000000,1.000000,0.000000
0.200000,0.201250,1.000000,1.000000,0.000000
0.200000,0.203750,1.000000,1.000000,0.000000
0.200000,0.206250,1.000000,1.000000,0.000000
0.200000,0.208750,1.000000,1.000000,0.000000
0.200000,0.211250,1.000000,1.000000,0.000000
0.200000,0.213750,1.000000,1.000000,0.000000
0.200000,0.216250,1.000000,1.000000,0.000000
0.200000,0.218750,1.000000,1.000000,0.000000
0.200000,0.221250,1.000000,1.000000,0.000000
0.200000,0.223750,1.000000,1.000000,0.000000
0.200000,0.226250,1.000000,1.000000,0.000000
0.200000,0.228750,1.000000,1.000000,0.000000
0.200000,0.231250,1.000000,1.000000,0.000000
0.200000,0.233750,1.000000,1.000000,0.000000
0.200000,0.236250,1.000000,1.000000,0.000000
0.200000,0.238750,1.000000,1.000000,0.000000
0.200000,0.241250,1.000000,1.000000,0.000000
0.200000,0.243750,1.000000,1.000000,0.000000
0.200000,0.246250,1.000000,1.000000,0.000000
0.200000,0.248750,1.000000,1.000000,0.000000
0.200000,0.251250,1.000000,1.000000,0.000000
0.200000,0.253750,1.000000,1.000000,0.000000
0.200000,0.256250,1.000000,1.000000,0.000000
0.200000,0.258750,1.000000,1.000000,0.000000
0.200000,0.261250,1.000000,1.000000,0.000000
0.200000,0.263750,0.998616,0.998063,0.001638
0.200000,0.266250,0.989853,0.985823,0.012055
0.200000,0.268750,0.981152,0.973712,0.022472
0.200000,0.271250,0.972512,0.961729,0.032888
0.200000,0.273750,0.963933,0.949872,0.043305
0.200000,0.276250,0.955414,0.938141,0.053722
0.200000,0.278750,0.946956,0.926535,0.064138
0.200000,0.281250,0.938558,0.915051,0.074555
0.200000,0.283750,0.930219,0.903690,0.084972
0.200000,0.286250,0.921940,0.892450,0.095388
0.200000,0.288750,0.913720,0.881330,0.105805
0.200000,0.291250,0.905559,0.870329,0.116222
0.200000,0.293750,0.897456,0.859446,0.126638
0.200000,0.296250,0.889411,0.848680,0.137055
0.200000,0.298750,0.881424,0.838029,0.147472
0.200000,0.301250,0.873495,0.827493,0.157888
0.200000,0.303750,0.865623,0.817072,0.168305
0.200000,0.306250,0.857807,0.806762,0.178722
0.200000,0.308750,0.850048,0.796565,0.189138
0.200000,0.311250,0.842346,0.786478,0.199555
0.200000,0.313750,0.834699,0.776501,0.209972
0.200000,0.316250,0.827108,0.766632,0.220388
0.200000,0.318750,0.819572,0.756871,0.230805
0.200000,0.321250,0.812091,0.747217,0.241222
0.200000,0.323750,0.804665,0.737669,0.251638
0.200000,0.326250,0.797294,0.728225,0.262055
0.200000,0.328750,0.789976,0.718886,0.272472
0.200000,0.331250,0.782713,0.709649,0.282888
0.200000,0.333750,0.775503,0.700514,0.293305
