Time,X,Rho,P,U
0.000000,0.001000,7850.000000,1.000000,150.000000
0.000000,0.003000,7850.000000,1.000000,0.000000
0.000000,0.005000,7850.000000,1.000000,0.000000
0.000000,0.007000,7850.000000,1.000000,0.000000
0.000000,0.009000,7850.000000,1.000000,0.000000
0.000000,0.011000,7850.000000,1.000000,0.000000
0.000000,0.013000,7850.000000,1.000000,0.000000
0.000000,0.015000,7850.000000,1.000000,0.000000
0.000000,0.017000,7850.000000,1.000000,0.000000
0.000000,0.019000,7850.000000,1.000000,0.000000
0.000000,0.021000,7850.000000,1.000000,0.000000
0.000000,0.023000,7850.000000,1.000000,0.000000
0.000000,0.025000,7850.000000,1.000000,0.000000
0.000000,0.027000,7850.000000,1.000000,0.000000
0.000000,0.029000,7850.000000,1.000000,0.000000
0.000000,0.031000,7850.000000,1.000000,0.000000
0.000000,0.033000,7850.000000,1.000000,0.000000
0.000000,0.035000,7850.000000,1.000000,0.000000
0.000000,0.037000,7850.000000,1.000000,0.000000
0.000000,0.039000,7850.000000,1.000000,0.000000
0.000000,0.041000,7850.000000,1.000000,0.000000
0.000000,0.043000,7850.000000,1.000000,0.000000
0.000000,0.045000,7850.000000,1.000000,0.000000
0.000000,0.047000,7850.000000,1.000000,0.000000
0.000000,0.049000,7850.000000,1.000000,0.000000
0.000000,0.051000,7850.000000,1.000000,0.000000
0.000000,0.053000,7850.000000,1.000000,0.000000
0.000000,0.055000,7850.000000,1.000000,0.000000
0.000000,0.057000,7850.000000,1.000000,0.000000
0.000000,0.059000,7850.000000,1.000000,0.000000
0.000000,0.061000,7850.000000,1.000000,0.000000
0.000000,0.063000,7850.000000,1.000000,0.000000
0.000000,0.065000,7850.000000,1.000000,0.000000
0.000000,0.067000,7850.000000,1.000000,0.000000
0.000000,0.069000,7850.000000,1.000000,0.000000
0.000000,0.071000,7850.000000,1.000000,0.000000
0.000000,0.073000,7850.000000,1.000000,0.000000
0.000000,0.075000,7850.000000,1.000000,0.000000
0.000000,0.077000,7850.000000,1.000000,0.000000
0.000000,0.079000,7850.000000,1.000000,0.000000
0.000000,0.081000,7850.000000,1.000000,0.000000
0.000000,0.083000,7850.000000,1.000000,0.000000
0.000000,0.085000,7850.000000,1.000000,0.000000
0.000000,0.087000,7850.000000,1.000000,0.000000
0.000000,0.089000,7850.000000,1.000000,0.000000
0.000000,0.091000,7850.000000,1.000000,0.000000
0.000000,0.093000,7850.000000,1.000000,0.000000
0.000000,0.095000,7850.000000,1.000000,0.000000
0.000000,0.097000,7850.000000,1.000000,0.000000
0.000000,0.099000,7850.000000,1.000000,0.000000
0.000000,0.101000,7850.000000,1.000000,0.000000
0.000000,0.103000,7850.000000,1.000000,0.000000
0.000000,0.105000,7850.000000,1.000000,0.000000
0.000000,0.107000,7850.000000,1.000000,0.000000
0.000000,0.109000,7850.000000,1.000000,0.000000
0.000000,0.111000,7850.000000,1.000000,0.000000
0.000000,0.113000,7850.000000,1.000000,0.000000
0.000000,0.115000,7850.000000,1.000000,0.000000
0.000000,0.117000,7850.000000,1.000000,0.000000
0.000000,0.119000,7850.000000,1.000000,0.000000
0.000000,0.121000,7850.000000,1.000000,0.000000
0.000000,0.123000,7850.000000,1.000000,0.000000
0.000000,0.125000,7850.000000,1.000000,0.000000
0.000000,0.127000,7850.000000,1.000000,0.000000
0.000000,0.129000,7850.000000,1.000000,0.000000
0.000000,0.131000,7850.000000,1.000000,0.000000
0.000000,0.133000,7850.000000,1.000000,0.000000
0.000000,0.135000,7850.000000,1.000000,0.000000
0.000000,0.137000,7850.000000,1.000000,0.000000
0.000000,0.139000,7850.000000,1.000000,0.000000
0.000000,0.141000,7850.000000,1.000000,0.000000
0.000000,0.143000,7850.000000,1.000000,0.000000
0.000000,0.145000,7850.000000,1.000000,0.000000
0.000000,0.147000,7850.000000,1.000000,0.000000
0.000000,0.149000,7850.000000,1.000000,0.000000
0.000000,0.151000,7850.000000,1.000000,0.000000
0.000000,0.153000,7850.000000,1.000000,0.000000
0.000000,0.155000,7850.000000,1.000000,0.000000
0.000000,0.157000,7850.000000,1.000000,0.000000
0.000000,0.159000,7850.000000,1.000000,0.000000
0.000000,0.161000,7850.000000,1.000000,0.000000
0.000000,0.163000,7850.000000,1.000000,0.000000
0.000000,0.165000,7850.000000,1.000000,0.000000
0.000000,0.167000,7850.000000,1.000000,0.000000
0.000000,0.169000,7850.000000,1.000000,0.000000
0.000000,0.171000,7850.000000,1.000000,0.000000
0.000000,0.173000,7850.000000,1.000000,0.000000
0.000000,0.175000,7850.000000,1.000000,0.000000
0.000000,0.177000,7850.000000,1.000000,0.000000
0.000000,0.179000,7850.000000,1.000000,0.000000
0.000000,0.181000,7850.000000,1.000000,0.000000
0.000000,0.183000,7850.000000,1.000000,0.000000
0.000000,0.185000,7850.000000,1.000000,0.000000
0.000000,0.187000,7850.000000,1.000000,0.000000
0.000000,0.189000,7850.000000,1.000000,0.000000
0.000000,0.191000,7850.000000,1.000000,0.000000
0.000000,0.193000,7850.000000,1.000000,0.000000
0.000000,0.195000,7850.000000,1.000000,0.000000
0.000000,0.197000,7850.000000,1.000000,0.000000
0.000000,0.199000,7850.000000,1.000000,0.000000
0.000000,0.201000,7850.000000,1.000000,0.000000
0.000000,0.203000,7850.000000,1.000000,0.000000
0.000000,0.205000,7850.000000,1.000000,0.000000
0.000000,0.207000,7850.000000,1.000000,0.000000
0.000000,0.209000,7850.000000,1.000000,0.000000
0.000000,0.211000,7850.000000,1.000000,0.000000
0.000000,0.213000,7850.000000,1.000000,0.000000
0.000000,0.215000,7850.000000,1.000000,0.000000
0.000000,0.217000,7850.000000,1.000000,0.000000
0.000000,0.219000,7850.000000,1.000000,0.000000
0.000000,0.221000,7850.000000,1.000000,0.000000
0.000000,0.223000,7850.000000,1.000000,0.000000
0.000000,0.225000,7850.000000,1.000000,0.000000
0.000000,0.227000,7850.000000,1.000000,0.000000
0.000000,0.229000,7850.000000,1.000000,0.000000
0.000000,0.231000,7850.000000,1.000000,0.000000
0.000000,0.233000,7850.000000,1.000000,0.000000
0.000000,0.235000,7850.000000,1.000000,0.000000
0.000000,0.237000,7850.000000,1.000000,0.000000
0.000000,0.239000,7850.000000,1.000000,0.000000
0.000000,0.241000,7850.000000,1.000000,0.000000
0.000000,0.243000,7850.000000,1.000000,0.000000
0.000000,0.245000,7850.000000,1.000000,0.000000
0.000000,0.247000,7850.000000,1.000000,0.000000
0.000000,0.249000,7850.000000,1.000000,0.000000
0.000000,0.251000,7850.000000,1.000000,0.000000
0.000000,0.253000,7850.000000,1.000000,0.000000
0.000000,0.255000,7850.000000,1.000000,0.000000
0.000000,0.257000,7850.000000,1.000000,0.000000
0.000000,0.259000,7850.000000,1.000000,0.000000
0.000000,0.261000,7850.000000,1.000000,0.000000
0.000000,0.263000,7850.000000,1.000000,0.000000
0.000000,0.265000,7850.000000,1.000000,0.000000
0.000000,0.267000,7850.000000,1.000000,0.000000
0.000000,0.269000,7850.000000,1.000000,0.000000
0.000000,0.271000,7850.000000,1.000000,0.000000
0.000000,0.273000,7850.000000,1.000000,0.000000
0.000000,0.275000,7850.000000,1.000000,0.000000
0.000000,0.277000,7850.000000,1.000000,0.000000
0.000000,0.279000,7850.000000,1.000000,0.000000
0.000000,0.281000,7850.000000,1.000000,0.000000
0.000000,0.283000,7850.000000,1.000000,0.000000
0.000000,0.285000,7850.000000,1.000000,0.000000
0.000000,0.287000,7850.000000,1.000000,0.000000
0.000000,0.289000,7850.000000,1.000000,0.000000
0.000000,0.291000,7850.000000,1.000000,0.000000
0.000000,0.293000,7850.000000,1.000000,0.000000
0.000000,0.295000,7850.000000,1.000000,0.000000
0.000000,0.297000,7850.000000,1.000000,0.000000
0.000000,0.299000,7850.000000,1.000000,0.000000
0.000000,0.301000,7850.000000,1.000000,0.000000
0.000000,0.303000,7850.000000,1.000000,0.000000
0.000000,0.305000,7850.000000,1.000000,0.000000
0.000000,0.307000,7850.000000,1.000000,0.000000
0.000000,0.309000,7850.000000,1.000000,0.000000
0.000000,0.311000,7850.000000,1.000000,0.000000
0.000000,0.313000,7850.000000,1.000000,0.000000
0.000000,0.315000,7850.000000,1.000000,0.000000
0.000000,0.317000,7850.000000,1.000000,0.000000
0.000000,0.319000,7850.000000,1.000000,0.000000
0.000000,0.321000,7850.000000,1.000000,0.000000
0.000000,0.323000,7850.000000,1.000000,0.000000
0.000000,0.325000,7850.000000,1.000000,0.000000
0.000000,0.327000,7850.000000,1.000000,0.000000
0.000000,0.329000,7850.000000,1.000000,0.000000
0.000000,0.331000,7850.000000,1.000000,0.000000
0.000000,0.333000,7850.000000,1.000000,0.000000
0.000000,0.335000,7850.000000,1.000000,0.000000
0.000000,0.337000,7850.000000,1.000000,0.000000
0.000000,0.339000,7850.000000,1.000000,0.000000
0.000000,0.341000,7850.000000,1.000000,0.000000
0.000000,0.343000,7850.000000,1.000000,0.000000
0.000000,0.345000,7850.000000,1.000000,0.000000
0.000000,0.347000,7850.000000,1.000000,0.000000
0.000000,0.349000,7850.000000,1.000000,0.000000
0.000000,0.351000,7850.000000,1.000000,0.000000
0.000000,0.353000,7850.000000,1.000000,0.000000
0.000000,0.355000,7850.000000,1.000000,0.000000
