Time,X,Rho,P,U
0.246029,0.000000,1.000000,10.000000,0.000000
0.246029,0.002500,0.680513,5.834084,1.386145
0.246029,0.005000,0.678977,5.815680,1.393961
0.246029,0.007500,0.677449,5.797385,1.401752
0.246029,0.010000,0.675929,5.779204,1.409515
0.246029,0.012500,0.674418,5.761139,1.417248
0.246029,0.015000,0.672915,5.743196,1.424951
0.246029,0.017500,0.671421,5.725377,1.432620
0.246029,0.020000,0.669936,5.707688,1.440254
0.246029,0.022500,0.668462,5.690134,1.447850
0.246029,0.025000,0.666998,5.672718,1.455406
0.246029,0.027500,0.665545,5.655448,1.462919
0.246029,0.030000,0.664103,5.638329,1.470385
0.246029,0.032500,0.662673,5.621366,1.477802
0.246029,0.035000,0.661256,5.604568,1.485166
0.246029,0.037500,0.659852,5.587942,1.492473
0.246029,0.040000,0.658461,5.571495,1.499720
0.246029,0.042500,0.657086,5.555236,1.506903
0.246029,0.045000,0.655726,5.539174,1.514016
0.246029,0.047500,0.654382,5.523319,1.521054
0.246029,0.050000,0.653055,5.507681,1.528014
0.246029,0.052500,0.651747,5.492272,1.534888
0.246029,0.055000,0.650458,5.477102,1.541671
0.246029,0.057500,0.649189,5.462186,1.548357
0.246029,0.060000,0.647942,5.447536,1.554939
0.246029,0.062500,0.646717,5.433166,1.561410
0.246029,0.065000,0.645516,5.419092,1.567762
0.246029,0.067500,0.644341,5.405329,1.573987
0.246029,0.070000,0.643193,5.391894,1.580077
0.246029,0.072500,0.642073,5.378804,1.586023
0.246029,0.075000,0.640984,5.366076,1.591817
0.246029,0.077500,0.639925,5.353730,1.597448
0.246029,0.080000,0.638900,5.341782,1.602908
0.246029,0.082500,0.637910,5.330254,1.608186
0.246029,0.085000,0.636957,5.319163,1.613274
0.246029,0.087500,0.636042,5.308528,1.618160
0.246029,0.090000,0.635166,5.298368,1.622837
0.246029,0.092500,0.634333,5.288700,1.627294
0.246029,0.095000,0.633542,5.279540,1.631524
0.246029,0.097500,0.632796,5.270903,1.635517
0.246029,0.100000,0.632095,5.262802,1.639269
0.246029,0.102500,0.631441,5.255247,1.642771
0.246029,0.105000,0.630835,5.248246,1.646021
0.246029,0.107500,0.630276,5.241802,1.649016
0.246029,0.110000,0.629765,5.235916,1.651754
0.246029,0.112500,0.629303,5.230586,1.654236
0.246029,0.115000,0.628887,5.225803,1.656464
0.246029,0.117500,0.628518,5.221556,1.658445
0.246029,0.120000,0.628194,5.217829,1.660185
0.246029,0.122500,0.627913,5.214600,1.661692
0.246029,0.125000,0.627673,5.211847,1.662978
0.246029,0.127500,0.627472,5.209541,1.664056
0.246029,0.130000,0.627307,5.207650,1.664940
0.246029,0.132500,0.627176,5.206142,1.665646
0.246029,0.135000,0.627074,5.204981,1.666188
0.246029,0.137500,0.626999,5.204132,1.666586
0.246029,0.140000,0.626949,5.203557,1.666855
0.246029,0.142500,0.626919,5.203222,1.667012
