Time,X,Rho,P,U
0.200000,0.000000,1.000000,1.000000,0.000000
0.200000,0.002000,1.000000,1.000000,0.000000
0.200000,0.004000,1.000000,1.000000,0.000000
0.200000,0.006000,1.000000,1.000000,0.000000
0.200000,0.008000,1.000000,1.000000,0.000000
0.200000,0.010000,1.000000,1.000000,0.000000
0.200000,0.012000,1.000000,1.000000,0.000000
0.200000,0.014000,1.000000,1.000000,0.000000
0.200000,0.016000,1.000000,1.000000,0.000000
0.200000,0.018000,1.000000,1.000000,0.000000
0.200000,0.020000,1.000000,1.000000,0.000000
0.200000,0.022000,1.000000,1.000000,0.000000
0.200000,0.024000,1.000000,1.000000,0.000000
0.200000,0.026000,1.000000,1.000000,0.000000
0.200000,0.028000,1.000000,1.000000,0.000000
0.200000,0.030000,1.000000,1.000000,0.000000
0.200000,0.032000,1.000000,1.000000,0.000000
0.200000,0.034000,1.000000,1.000000,0.000000
0.200000,0.036000,1.000000,1.000000,0.000000
0.200000,0.038000,1.000000,1.000000,0.000000
0.200000,0.040000,1.000000,1.000000,0.000000
0.200000,0.042000,1.000000,1.000000,0.000000
0.200000,0.044000,1.000000,1.000000,0.000000
0.200000,0.046000,1.000000,1.000000,0.000000
0.200000,0.048000,1.000000,1.000000,0.000000
0.200000,0.050000,1.000000,1.000000,0.000000
0.200000,0.052000,1.000000,1.000000,0.000000
0.200000,0.054000,1.000000,1.000000,0.000000
0.200000,0.056000,1.000000,1.000000,0.000000
0.200000,0.058000,1.000000,1.000000,0.000000
0.200000,0.060000,1.000000,1.000000,0.000000
0.200000,0.062000,1.000000,1.000000,0.000000
0.200000,0.064000,1.000000,1.000000,0.000000
0.200000,0.066000,1.000000,1.000000,0.000000
0.200000,0.068000,1.000000,1.000000,0.000000
0.200000,0.070000,1.000000,1.000000,0.000000
0.200000,0.072000,1.000000,1.000000,0.000000
0.200000,0.074000,1.000000,1.000000,0.000000
0.200000,0.076000,1.000000,1.000000,0.000000
0.200000,0.078000,1.000000,1.000000,0.000000
0.200000,0.080000,1.000000,1.000000,0.000000
