Time,X,Rho,P,U
0.250000,0.000500,1.000000,1.000000,0.000000
0.250000,0.001500,1.000000,1.000000,0.000000
0.250000,0.002500,1.000000,1.000000,0.000000
0.250000,0.003500,1.000000,1.000000,0.000000
0.250000,0.004500,1.000000,1.000000,0.000000
0.250000,0.005500,1.000000,1.000000,0.000000
0.250000,0.006500,1.000000,1.000000,0.000000
0.250000,0.007500,1.000000,1.000000,0.000000
0.250000,0.008500,1.000000,1.000000,0.000000
0.250000,0.009500,1.000000,1.000000,0.000000
0.250000,0.010500,1.000000,1.000000,0.000000
0.250000,0.011500,1.000000,1.000000,0.000000
0.250000,0.012500,1.000000,1.000000,0.000000
0.250000,0.013500,1.000000,1.000000,0.000000
0.250000,0.014500,1.000000,1.000000,0.000000
0.250000,0.015500,1.000000,1.000000,0.000000
0.250000,0.016500,1.000000,1.000000,0.000000
0.250000,0.017500,1.000000,1.000000,0.000000
0.250000,0.018500,1.000000,1.000000,0.000000
0.250000,0.019500,1.000000,1.000000,0.000000
0.250000,0.020500,1.000000,1.000000,0.000000
0.250000,0.021500,1.000000,1.000000,0.000000
0.250000,0.022500,1.000000,1.000000,0.000000
0.250000,0.023500,1.000000,1.000000,0.000000
0.250000,0.024500,1.000000,1.000000,0.000000
0.250000,0.025500,1.000000,1.000000,0.000000
0.250000,0.026500,1.000000,1.000000,0.000000
0.250000,0.027500,1.000000,1.000000,0.000000
0.250000,0.028500,1.000000,1.000000,0.000000
0.250000,0.029500,1.000000,1.000000,0.000000
0.250000,0.030500,1.000000,1.000000,0.000000
0.250000,0.031500,1.000000,1.000000,0.000000
0.250000,0.032500,1.000000,1.000000,0.000000
0.250000,0.033500,1.000000,1.000000,0.000000
0.250000,0.034500,1.000000,1.000000,0.000000
0.250000,0.035500,1.000000,1.000000,0.000000
0.250000,0.036500,1.000000,1.000000,0.000000
0.250000,0.037500,1.000000,1.000000,0.000000
0.250000,0.038500,1.000000,1.000000,0.000000
0.250000,0.039500,1.000000,1.000000,0.000000
0.250000,0.040500,1.000000,1.000000,0.000000
0.250000,0.041500,1.000000,1.000000,0.000000
0.250000,0.042500,1.000000,1.000000,0.000000
0.250000,0.043500,1.000000,1.000000,0.000000
0.250000,0.044500,1.000000,1.000000,0.000000
0.250000,0.045500,1.000000,1.000000,0.000000
0.250000,0.046500,1.000000,1.000000,0.000000
0.250000,0.047500,1.000000,1.000000,0.000000
0.250000,0.048500,1.000000,1.000000,0.000000
0.250000,0.049500,1.000000,1.000000,0.000000
0.250000,0.050500,1.000000,1.000000,0.000000
0.250000,0.051500,1.000000,1.000000,0.000000
0.250000,0.052500,1.000000,1.000000,0.000000
0.250000,0.053500,1.000000,1.000000,0.000000
0.250000,0.054500,1.000000,1.000000,0.000000
0.250000,0.055500,1.000000,1.000000,0.000000
0.250000,0.056500,1.000000,1.000000,0.000000
0.250000,0.057500,1.000000,1.000000,0.000000
0.250000,0.058500,1.000000,1.000000,0.000000
0.250000,0.059500,1.000000,1.000000,0.000000
0.250000,0.060500,1.000000,1.000000,0.000000
0.250000,0.061500,1.000000,1.000000,0.000000
0.250000,0.062500,1.000000,1.000000,0.000000
0.250000,0.063500,1.000000,1.000000,0.000000
0.250000,0.064500,1.000000,1.000000,0.000000
0.250000,0.065500,1.000000,1.000000,0.000000
0.250000,0.066500,1.000000,1.000000,0.000000
0.250000,0.067500,1.000000,1.000000,0.000000
0.250000,0.068500,1.000000,1.000000,0.000000
0.250000,0.069500,1.000000,1.000000,0.000000
0.250000,0.070500,1.000000,1.000000,0.000000
0.250000,0.071500,1.000000,1.000000,0.000000
0.250000,0.072500,1.000000,1.000000,0.000000
0.250000,0.073500,1.000000,1.000000,0.000000
0.250000,0.074500,1.000000,1.000000,0.000000
0.250000,0.075500,1.000000,1.000000,0.000000
0.250000,0.076500,1.000000,1.000000,0.000000
0.250000,0.077500,1.000000,1.000000,0.000000
0.250000,0.078500,1.000000,1.000000,0.000000
0.250000,0.079500,1.000000,1.000000,0.000000
0.250000,0.080500,1.000000,1.000000,0.000000
0.250000,0.081500,1.000000,1.000000,0.000000
0.250000,0.082500,1.000000,1.000000,0.000000
0.250000,0.083500,1.000000,1.000000,0.000000
0.250000,0.084500,1.000000,1.000000,0.000000
0.250000,0.085500,1.000000,1.000000,0.000000
0.250000,0.086500,1.000000,1.000000,0.000000
0.250000,0.087500,1.000000,1.000000,0.000000
0.250000,0.088500,1.000000,1.000000,0.000000
0.250000,0.089500,1.000000,1.000000,0.000000
0.250000,0.090500,1.000000,1.000000,0.000000
0.250000,0.091500,1.000000,1.000000,0.000000
0.250000,0.092500,1.000000,1.000000,0.000000
0.250000,0.093500,1.000000,1.000000,0.000000
0.250000,0.094500,1.000000,1.000000,0.000000
0.250000,0.095500,1.000000,1.000000,0.000000
0.250000,0.096500,1.000000,1.000000,0.000000
0.250000,0.097500,1.000000,1.000000,0.000000
0.250000,0.098500,1.000000,1.000000,0.000000
0.250000,0.099500,1.000000,1.000000,0.000000
0.250000,0.100500,1.000000,1.000000,0.000000
0.250000,0.101500,1.000000,1.000000,0.000000
0.250000,0.102500,1.000000,1.000000,0.000000
0.250000,0.103500,1.000000,1.000000,0.000000
0.250000,0.104500,1.000000,1.000000,0.000000
0.250000,0.105500,1.000000,1.000000,0.000000
0.250000,0.106500,1.000000,1.000000,0.000000
0.250000,0.107500,1.000000,1.000000,0.000000
0.250000,0.108500,1.000000,1.000000,0.000000
0.250000,0.109500,1.000000,1.000000,0.000000
0.250000,0.110500,1.000000,1.000000,0.000000
0.250000,0.111500,1.000000,1.000000,0.000000
0.250000,0.112500,1.000000,1.000000,0.000000
0.250000,0.113500,1.000000,1.000000,0.000000
0.250000,0.114500,1.000000,1.000000,0.000000
0.250000,0.115500,1.000000,1.000000,0.000000
0.250000,0.116500,1.000000,1.000000,0.000000
0.250000,0.117500,1.000000,1.000000,0.000000
0.250000,0.118500,1.000000,1.000000,0.000000
0.250000,0.119500,1.000000,1.000000,0.000000
0.250000,0.120500,1.000000,1.000000,0.000000
0.250000,0.121500,1.000000,1.000000,0.000000
0.250000,0.122500,1.000000,1.000000,0.000000
0.250000,0.123500,1.000000,1.000000,0.000000
0.250000,0.124500,1.000000,1.000000,0.000000
0.250000,0.125500,1.000000,1.000000,0.000000
0.250000,0.126500,1.000000,1.000000,0.000000
0.250000,0.127500,1.000000,1.000000,0.000000
0.250000,0.128500,1.000000,1.000000,0.000000
0.250000,0.129500,1.000000,1.000000,0.000000
0.250000,0.130500,1.000000,1.000000,0.000000
0.250000,0.131500,1.000000,1.000000,0.000000
0.250000,0.132500,1.000000,1.000000,0.000000
0.250000,0.133500,1.000000,1.000000,0.000000
0.250000,0.134500,1.000000,1.000000,0.000000
0.250000,0.135500,1.000000,1.000000,0.000000
0.250000,0.136500,1.000000,1.000000,0.000000
0.250000,0.137500,1.000000,1.000000,0.000000
0.250000,0.138500,1.000000,1.000000,0.000000
0.250000,0.139500,1.000000,1.000000,0.000000
0.250000,0.140500,1.000000,1.000000,0.000000
0.250000,0.141500,1.000000,1.000000,0.000000
0.250000,0.142500,1.000000,1.000000,0.000000
0.250000,0.143500,1.000000,1.000000,0.000000
0.250000,0.144500,1.000000,1.000000,0.000000
0.250000,0.145500,1.000000,1.000000,0.000000
0.250000,0.146500,1.000000,1.000000,0.000000
0.250000,0.147500,1.000000,1.000000,0.000000
0.250000,0.148500,1.000000,1.000000,0.000000
0.250000,0.149500,1.000000,1.000000,0.000000
0.250000,0.150500,1.000000,1.000000,0.000000
0.250000,0.151500,1.000000,1.000000,0.000000
0.250000,0.152500,1.000000,1.000000,0.000000
0.250000,0.153500,1.000000,1.000000,0.000000
0.250000,0.154500,1.000000,1.000000,0.000000
0.250000,0.155500,1.000000,1.000000,0.000000
0.250000,0.156500,1.000000,1.000000,0.000000
0.250000,0.157500,1.000000,1.000000,0.000000
0.250000,0.158500,1.000000,1.000000,0.000000
0.250000,0.159500,1.000000,1.000000,0.000000
0.250000,0.160500,1.000000,1.000000,0.000000
0.250000,0.161500,1.000000,1.000000,0.000000
0.250000,0.162500,1.000000,1.000000,0.000000
0.250000,0.163500,1.000000,1.000000,0.000000
0.250000,0.164500,1.000000,1.000000,0.000000
0.250000,0.165500,1.000000,1.000000,0.000000
0.250000,0.166500,1.000000,1.000000,0.000000
0.250000,0.167500,1.000000,1.000000,0.000000
0.250000,0.168500,1.000000,1.000000,0.000000
0.250000,0.169500,1.000000,1.000000,0.000000
0.250000,0.170500,1.000000,1.000000,0.000000
0.250000,0.171500,1.000000,1.000000,0.000000
0.250000,0.172500,1.000000,1.000000,0.000000
0.250000,0.173500,1.000000,1.000000,0.000000
0.250000,0.174500,1.000000,1.000000,0.000000
0.250000,0.175500,1.000000,1.000000,0.000000
0.250000,0.176500,1.000000,1.000000,0.000000
0.250000,0.177500,1.000000,1.000000,0.000000
0.250000,0.178500,1.000000,1.000000,0.000000
0.250000,0.179500,1.000000,1.000000,0.000000
0.250000,0.180500,1.000000,1.000000,0.000000
0.250000,0.181500,1.000000,1.000000,0.000000
0.250000,0.182500,1.000000,1.000000,0.000000
