Time,X,Rho,P,U
0.000000,0.000000,1.000000,10.000000,0.000000
0.000000,0.002500,1.000000,10.000000,0.000000
0.000000,0.005000,1.000000,10.000000,0.000000
0.000000,0.007500,1.000000,10.000000,0.000000
0.000000,0.010000,1.000000,10.000000,0.000000
0.000000,0.012500,1.000000,10.000000,0.000000
0.000000,0.015000,1.000000,10.000000,0.000000
0.000000,0.017500,1.000000,10.000000,0.000000
0.000000,0.020000,1.000000,10.000000,0.000000
0.000000,0.022500,1.000000,10.000000,0.000000
0.000000,0.025000,1.000000,10.000000,0.000000
0.000000,0.027500,1.000000,10.000000,0.000000
0.000000,0.030000,1.000000,10.000000,0.000000
0.000000,0.032500,1.000000,10.000000,0.000000
0.000000,0.035000,1.000000,10.000000,0.000000
0.000000,0.037500,1.000000,10.000000,0.000000
0.000000,0.040000,1.000000,10.000000,0.000000
0.000000,0.042500,1.000000,10.000000,0.000000
0.000000,0.045000,1.000000,10.000000,0.000000
0.000000,0.047500,1.000000,10.000000,0.000000
0.000000,0.050000,1.000000,10.000000,0.000000
0.000000,0.052500,1.000000,10.000000,0.000000
0.000000,0.055000,1.000000,10.000000,0.000000
0.000000,0.057500,1.000000,10.000000,0.000000
0.000000,0.060000,1.000000,10.000000,0.000000
0.000000,0.062500,1.000000,10.000000,0.000000
0.000000,0.065000,1.000000,10.000000,0.000000
0.000000,0.067500,1.000000,10.000000,0.000000
0.000000,0.070000,1.000000,10.000000,0.000000
0.000000,0.072500,1.000000,10.000000,0.000000
0.000000,0.075000,1.000000,10.000000,0.000000
0.000000,0.077500,1.000000,10.000000,0.000000
0.000000,0.080000,1.000000,10.000000,0.000000
0.000000,0.082500,1.000000,10.000000,0.000000
0.000000,0.085000,1.000000,10.000000,0.000000
0.000000,0.087500,1.000000,10.000000,0.000000
0.000000,0.090000,1.000000,10.000000,0.000000
0.000000,0.092500,1.000000,10.000000,0.000000
0.000000,0.095000,1.000000,10.000000,0.000000
0.000000,0.097500,1.000000,10.000000,0.000000
0.000000,0.100000,1.000000,10.000000,0.000000
0.000000,0.102500,1.000000,10.000000,0.000000
0.000000,0.105000,1.000000,10.000000,0.000000
0.000000,0.107500,1.000000,10.000000,0.000000
0.000000,0.110000,1.000000,10.000000,0.000000
0.000000,0.112500,1.000000,10.000000,0.000000
0.000000,0.115000,1.000000,10.000000,0.000000
0.000000,0.117500,1.000000,10.000000,0.000000
0.000000,0.120000,1.000000,10.000000,0.000000
0.000000,0.122500,1.000000,10.000000,0.000000
0.000000,0.125000,1.000000,10.000000,0.000000
0.000000,0.127500,1.000000,10.000000,0.000000
0.000000,0.130000,1.000000,10.000000,0.000000
0.000000,0.132500,1.000000,10.000000,0.000000
0.000000,0.135000,1.000000,10.000000,0.000000
0.000000,0.137500,1.000000,10.000000,0.000000
0.000000,0.140000,1.000000,10.000000,0.000000
0.000000,0.142500,1.000000,10.000000,0.000000
0.000000,0.145000,1.000000,10.000000,0.000000
0.000000,0.147500,1.000000,10.000000,0.000000
0.000000,0.150000,1.000000,10.000000,0.000000
0.000000,0.152500,1.000000,10.000000,0.000000
0.000000,0.155000,1.000000,10.000000,0.000000
0.000000,0.157500,1.000000,10.000000,0.000000
0.000000,0.160000,1.000000,10.000000,0.000000
0.000000,0.162500,1.000000,10.000000,0.000000
0.000000,0.165000,1.000000,10.000000,0.000000
0.000000,0.167500,1.000000,10.000000,0.000000
0.000000,0.170000,1.000000,10.000000,0.000000
0.000000,0.172500,1.000000,10.000000,0.000000
0.000000,0.175000,1.000000,10.000000,0.000000
0.000000,0.177500,1.000000,10.000000,0.000000
0.000000,0.180000,1.000000,10.000000,0.000000
0.000000,0.182500,1.000000,10.000000,0.000000
0.000000,0.185000,1.000000,10.000000,0.000000
0.000000,0.187500,1.000000,10.000000,0.000000
0.000000,0.190000,1.000000,10.000000,0.000000
0.000000,0.192500,1.000000,10.000000,0.000000
0.000000,0.195000,1.000000,10.000000,0.000000
0.000000,0.197500,1.000000,10.000000,0.000000
0.000000,0.200000,1.000000,10.000000,0.000000
0.000000,0.202500,1.000000,10.000000,0.000000
0.000000,0.205000,1.000000,10.000000,0.000000
0.000000,0.207500,1.000000,10.000000,0.000000
0.000000,0.210000,1.000000,10.000000,0.000000
0.000000,0.212500,1.000000,10.000000,0.000000
0.000000,0.215000,1.000000,10.000000,0.000000
0.000000,0.217500,1.000000,10.000000,0.000000
0.000000,0.220000,1.000000,10.000000,0.000000
0.000000,0.222500,1.000000,10.000000,0.000000
0.000000,0.225000,1.000000,10.000000,0.000000
0.000000,0.227500,1.000000,10.000000,0.000000
0.000000,0.230000,1.000000,10.000000,0.000000
0.000000,0.232500,1.000000,10.000000,0.000000
0.000000,0.235000,1.000000,10.000000,0.000000
0.000000,0.237500,1.000000,10.000000,0.000000
0.000000,0.240000,1.000000,10.000000,0.000000
0.000000,0.242500,1.000000,10.000000,0.000000
0.000000,0.245000,1.000000,10.000000,0.000000
0.000000,0.247500,1.000000,10.000000,0.000000
0.000000,0.250000,1.000000,10.000000,0.000000
0.000000,0.252500,1.000000,10.000000,0.000000
0.000000,0.255000,1.000000,10.000000,0.000000
0.000000,0.257500,1.000000,10.000000,0.000000
0.000000,0.260000,1.000000,10.000000,0.000000
0.000000,0.262500,1.000000,10.000000,0.000000
0.000000,0.265000,1.000000,10.000000,0.000000
0.000000,0.267500,1.000000,10.000000,0.000000
0.000000,0.270000,1.000000,10.000000,0.000000
0.000000,0.272500,1.000000,10.000000,0.000000
0.000000,0.275000,1.000000,10.000000,0.000000
0.000000,0.277500,1.000000,10.000000,0.000000
0.000000,0.280000,1.000000,10.000000,0.000000
0.000000,0.282500,1.000000,10.000000,0.000000
0.000000,0.285000,1.000000,10.000000,0.000000
0.000000,0.287500,1.000000,10.000000,0.000000
0.000000,0.290000,1.000000,10.000000,0.000000
0.000000,0.292500,1.000000,10.000000,0.000000
0.000000,0.295000,1.000000,10.000000,0.000000
0.000000,0.297500,1.000000,10.000000,0.000000
0.000000,0.300000,1.000000,10.000000,0.000000
0.000000,0.302500,1.000000,10.000000,0.000000
0.000000,0.305000,1.000000,10.000000,0.000000
0.000000,0.307500,1.000000,10.000000,0.000000
0.000000,0.310000,1.000000,10.000000,0.000000
0.000000,0.312500,1.000000,10.000000,0.000000
0.000000,0.315000,1.000000,10.000000,0.000000
0.000000,0.317500,1.000000,10.000000,0.000000
0.000000,0.320000,1.000000,10.000000,0.000000
0.000000,0.322500,1.000000,10.000000,0.000000
0.000000,0.325000,1.000000,10.000000,0.000000
0.000000,0.327500,1.000000,10.000000,0.000000
0.000000,0.330000,1.000000,10.000000,0.000000
0.000000,0.332500,1.000000,10.000000,0.000000
0.000000,0.335000,1.000000,10.000000,0.000000
0.000000,0.337500,1.000000,10.000000,0.000000
0.000000,0.340000,1.000000,10.000000,0.000000
0.000000,0.342500,1.000000,10.000000,0.000000
0.000000,0.345000,1.000000,10.000000,0.000000
0.000000,0.347500,1.000000,10.000000,0.000000
0.000000,0.350000,1.000000,10.000000,0.000000
0.000000,0.352500,1.000000,10.000000,0.000000
0.000000,0.355000,1.000000,10.000000,0.000000
0.000000,0.357500,1.000000,10.000000,0.000000
0.000000,0.360000,1.000000,10.000000,0.000000
0.000000,0.362500,1.000000,10.000000,0.000000
0.000000,0.365000,1.000000,10.000000,0.000000
0.000000,0.367500,1.000000,10.000000,0.000000
0.000000,0.370000,1.000000,10.000000,0.000000
0.000000,0.372500,1.000000,10.000000,0.000000
0.000000,0.375000,1.000000,10.000000,0.000000
0.000000,0.377500,1.000000,10.000000,0.000000
0.000000,0.380000,1.000000,10.000000,0.000000
0.000000,0.382500,1.000000,10.000000,0.000000
0.000000,0.385000,1.000000,10.000000,0.000000
0.000000,0.387500,1.000000,10.000000,0.000000
0.000000,0.390000,1.000000,10.000000,0.000000
0.000000,0.392500,1.000000,10.000000,0.000000
0.000000,0.395000,1.000000,10.000000,0.000000
0.000000,0.397500,1.000000,10.000000,0.000000
0.000000,0.400000,1.000000,10.000000,0.000000
0.000000,0.402500,1.000000,10.000000,0.000000
0.000000,0.405000,1.000000,10.000000,0.000000
0.000000,0.407500,1.000000,10.000000,0.000000
0.000000,0.410000,1.000000,10.000000,0.000000
0.000000,0.412500,1.000000,10.000000,0.000000
0.000000,0.415000,1.000000,10.000000,0.000000
0.000000,0.417500,1.000000,10.000000,0.000000
0.000000,0.420000,1.000000,10.000000,0.000000
0.000000,0.422500,1.000000,10.000000,0.000000
0.000000,0.425000,1.000000,10.000000,0.000000
0.000000,0.427500,1.000000,10.000000,0.000000
0.000000,0.430000,1.000000,10.000000,0.000000
0.000000,0.432500,1.000000,10.000000,0.000000
0.000000,0.435000,1.000000,10.000000,0.000000
0.000000,0.437500,1.000000,10.000000,0.000000
0.000000,0.440000,1.000000,10.000000,0.000000
0.000000,0.442500,1.000000,10.000000,0.000000
0.000000,0.445000,1.000000,10.000000,0.000000
0.000000,0.447500,1.000000,10.000000,0.000000
0.000000,0.450000,1.000000,10.000000,0.000000
0.000000,0.452500,1.000000,10.000000,0.000000
0.000000,0.455000,1.000000,10.000000,0.000000
0.000000,0.457500,1.000000,10.000000,0.000000
0.000000,0.460000,1.000000,10.000000,0.000000
0.000000,0.462500,1.000000,10.000000,0.000000
0.000000,0.465000,1.000000,10.000000,0.000000
0.000000,0.467500,1.000000,10.000000,0.000000
0.000000,0.470000,1.000000,10.000000,0.000000
0.000000,0.472500,1.000000,10.000000,0.000000
0.000000,0.475000,1.000000,10.000000,0.000000
0.000000,0.477500,1.000000,10.000000,0.000000
0.000000,0.480000,1.000000,10.000000,0.000000
0.000000,0.482500,1.000000,10.000000,0.000000
0.000000,0.485000,1.000000,10.000000,0.000000
0.000000,0.487500,1.000000,10.000000,0.000000
0.000000,0.490000,1.000000,10.000000,0.000000
0.000000,0.492500,1.000000,10.000000,0.000000
0.000000,0.495000,1.000000,10.000000,0.000000
0.000000,0.497500,1.000000,10.000000,0.000000
0.000000,0.500000,1.000000,10.000000,0.000000
0.000000,0.502500,1.000000,1.000000,0.000000
0.000000,0.505000,1.000000,1.000000,0.000000
0.000000,0.507500,1.000000,1.000000,0.000000
0.000000,0.510000,1.000000,1.000000,0.000000
0.000000,0.512500,1.000000,1.000000,0.000000
0.000000,0.515000,1.000000,1.000000,0.000000
0.000000,0.517500,1.000000,1.000000,0.000000
0.000000,0.520000,1.000000,1.000000,0.000000
0.000000,0.522500,1.000000,1.000000,0.000000
0.000000,0.525000,1.000000,1.000000,0.000000
0.000000,0.527500,1.000000,1.000000,0.000000
0.000000,0.530000,1.000000,1.000000,0.000000
0.000000,0.532500,1.000000,1.000000,0.000000
0.000000,0.535000,1.000000,1.000000,0.000000
0.000000,0.537500,1.000000,1.000000,0.000000
0.000000,0.540000,1.000000,1.000000,0.000000
0.000000,0.542500,1.000000,1.000000,0.000000
0.000000,0.545000,1.000000,1.000000,0.000000
0.000000,0.547500,1.000000,1.000000,0.000000
0.000000,0.550000,1.000000,1.000000,0.000000
0.000000,0.552500,1.000000,1.000000,0.000000
0.000000,0.555000,1.000000,1.000000,0.000000
0.000000,0.557500,1.000000,1.000000,0.000000
0.000000,0.560000,1.000000,1.000000,0.000000
0.000000,0.562500,1.000000,1.000000,0.000000
0.000000,0.565000,1.000000,1.000000,0.000000
0.000000,0.567500,1.000000,1.000000,0.000000
0.000000,0.570000,1.000000,1.000000,0.000000
0.000000,0.572500,1.000000,1.000000,0.000000
0.000000,0.575000,1.000000,1.000000,0.000000
0.000000,0.577500,1.000000,1.000000,0.000000
0.000000,0.580000,1.000000,1.000000,0.000000
0.000000,0.582500,1.000000,1.000000,0.000000
0.000000,0.585000,1.000000,1.000000,0.000000
0.000000,0.587500,1.000000,1.000000,0.000000
0.000000,0.590000,1.000000,1.000000,0.000000
0.000000,0.592500,1.000000,1.000000,0.000000
0.000000,0.595000,1.000000,1.000000,0.000000
0.000000,0.597500,1.000000,1.000000,0.000000
0.000000,0.600000,1.000000,1.000000,0.000000
0.000000,0.602500,1.000000,1.000000,0.000000
0.000000,0.605000,1.000000,1.000000,0.000000
0.000000,0.607500,1.000000,1.000000,0.000000
0.000000,0.610000,1.000000,1.000000,0.000000
0.000000,0.612500,1.000000,1.000000,0.000000
0.000000,0.615000,1.000000,1.000000,0.000000
0.000000,0.617500,1.000000,1.000000,0.000000
0.000000,0.620000,1.000000,1.000000,0.000000
0.000000,0.622500,1.000000,1.000000,0.000000
0.000000,0.625000,1.000000,1.000000,0.000000
0.000000,0.627500,1.000000,1.000000,0.000000
0.000000,0.630000,1.000000,1.000000,0.000000
0.000000,0.632500,1.000000,1.000000,0.000000
0.000000,0.635000,1.000000,1.000000,0.000000
0.000000,0.637500,1.000000,1.000000,0.000000
0.000000,0.640000,1.000000,1.000000,0.000000
0.000000,0.642500,1.000000,1.000000,0.000000
0.000000,0.645000,1.000000,1.000000,0.000000
0.000000,0.647500,1.000000,1.000000,0.000000
0.000000,0.650000,1.000000,1.000000,0.000000
0.000000,0.652500,1.000000,1.000000,0.000000
0.000000,0.655000,1.000000,1.000000,0.000000
0.000000,0.657500,1.000000,1.000000,0.000000
0.000000,0.660000,1.000000,1.000000,0.000000
0.000000,0.662500,1.000000,1.000000,0.000000
0.000000,0.665000,1.000000,1.000000,0.000000
0.000000,0.667500,1.000000,1.000000,0.000000
0.000000,0.670000,1.000000,1.000000,0.000000
0.000000,0.672500,1.000000,1.000000,0.000000
0.000000,0.675000,1.000000,1.000000,0.000000
0.000000,0.677500,1.000000,1.000000,0.000000
0.000000,0.680000,1.000000,1.000000,0.000000
0.000000,0.682500,1.000000,1.000000,0.000000
0.000000,0.685000,1.000000,1.000000,0.000000
0.000000,0.687500,1.000000,1.000000,0.000000
0.000000,0.690000,1.000000,1.000000,0.000000
0.000000,0.692500,1.000000,1.000000,0.000000
0.000000,0.695000,1.000000,1.000000,0.000000
0.000000,0.697500,1.000000,1.000000,0.000000
0.000000,0.700000,1.000000,1.000000,0.000000
0.000000,0.702500,1.000000,1.000000,0.000000
0.000000,0.705000,1.000000,1.000000,0.000000
0.000000,0.707500,1.000000,1.000000,0.000000
0.000000,0.710000,1.000000,1.000000,0.000000
0.000000,0.712500,1.000000,1.000000,0.000000
0.000000,0.715000,1.000000,1.000000,0.000000
0.000000,0.717500,1.000000,1.000000,0.000000
0.000000,0.720000,1.000000,1.000000,0.000000
0.000000,0.722500,1.000000,1.000000,0.000000
0.000000,0.725000,1.000000,1.000000,0.000000
0.000000,0.727500,1.000000,1.000000,0.000000
0.000000,0.730000,1.000000,1.000000,0.000000
0.000000,0.732500,1.000000,1.000000,0.000000
0.000000,0.735000,1.000000,1.000000,0.000000
0.000000,0.737500,1.000000,1.000000,0.000000
0.000000,0.740000,1.000000,1.000000,0.000000
0.000000,0.742500,1.000000,1.000000,0.000000
0.000000,0.745000,1.000000,1.000000,0.000000
0.000000,0.747500,1.000000,1.000000,0.000000
0.000000,0.750000,1.000000,1.000000,0.000000
0.000000,0.752500,1.000000,1.000000,0.000000
0.000000,0.755000,1.000000,1.000000,0.000000
0.000000,0.757500,1.000000,1.000000,0.000000
0.000000,0.760000,1.000000,1.000000,0.000000
0.000000,0.762500,1.000000,1.000000,0.000000
0.000000,0.765000,1.000000,1.000000,0.000000
0.000000,0.767500,1.000000,1.000000,0.000000
0.000000,0.770000,1.000000,1.000000,0.000000
0.000000,0.772500,1.000000,1.000000,0.000000
0.000000,0.775000,1.000000,1.000000,0.000000
0.000000,0.777500,1.000000,1.000000,0.000000
0.000000,0.780000,1.000000,1.000000,0.000000
0.000000,0.782500,1.000000,1.000000,0.000000
0.000000,0.785000,1.000000,1.000000,0.000000
0.000000,0.787500,1.000000,1.000000,0.000000
0.000000,0.790000,1.000000,1.000000,0.000000
0.000000,0.792500,1.000000,1.000000,0.000000
0.000000,0.795000,1.000000,1.000000,0.000000
0.000000,0.797500,1.000000,1.000000,0.000000
0.000000,0.800000,1.000000,1.000000,0.000000
0.000000,0.802500,1.000000,1.000000,0.000000
0.000000,0.805000,1.000000,1.000000,0.000000
0.000000,0.807500,1.000000,1.000000,0.000000
0.000000,0.810000,1.000000,1.000000,0.000000
0.000000,0.812500,1.000000,1.000000,0.000000
0.000000,0.815000,1.000000,1.000000,0.000000
0.000000,0.817500,1.000000,1.000000,0.000000
0.000000,0.820000,1.000000,1.000000,0.000000
0.000000,0.822500,1.000000,1.000000,0.000000
0.000000,0.825000,1.000000,1.000000,0.000000
0.000000,0.827500,1.000000,1.000000,0.000000
0.000000,0.830000,1.000000,1.000000,0.000000
0.000000,0.832500,1.000000,1.000000,0.000000
0.000000,0.835000,1.000000,1.000000,0.000000
0.000000,0.837500,1.000000,1.000000,0.000000
0.000000,0.840000,1.000000,1.000000,0.000000
0.000000,0.842500,1.000000,1.000000,0.000000
0.000000,0.845000,1.000000,1.000000,0.000000
0.000000,0.847500,1.000000,1.000000,0.000000
0.000000,0.850000,1.000000,1.000000,0.000000
0.000000,0.852500,1.000000,1.000000,0.000000
0.000000,0.855000,1.000000,1.000000,0.000000
0.000000,0.857500,1.000000,1.000000,0.000000
0.000000,0.860000,1.000000,1.000000,0.000000
0.000000,0.862500,1.000000,1.000000,0.000000
0.000000,0.865000,1.000000,1.000000,0.000000
0.000000,0.867500,1.000000,1.000000,0.000000
0.000000,0.870000,1.000000,1.000000,0.000000
0.000000,0.872500,1.000000,1.000000,0.000000
0.000000,0.875000,1.000000,1.000000,0.000000
0.000000,0.877500,1.000000,1.000000,0.000000
0.000000,0.880000,1.000000,1.000000,0.000000
0.000000,0.882500,1.000000,1.000000,0.000000
0.000000,0.885000,1.000000,1.000000,0.000000
0.000000,0.887500,1.000000,1.000000,0.000000
0.000000,0.890000,1.000000,1.000000,0.000000
0.000000,0.892500,1.000000,1.000000,0.000000
0.000000,0.895000,1.000000,1.000000,0.000000
0.000000,0.897500,1.000000,1.000000,0.000000
0.000000,0.900000,1.000000,1.000000,0.000000
0.000000,0.902500,1.000000,1.000000,0.000000
0.000000,0.905000,1.000000,1.000000,0.000000
0.000000,0.907500,1.000000,1.000000,0.000000
0.000000,0.910000,1.000000,1.000000,0.000000
0.000000,0.912500,1.000000,1.000000,0.000000
0.000000,0.915000,1.000000,1.000000,0.000000
0.000000,0.917500,1.000000,1.000000,0.000000
0.000000,0.920000,1.000000,1.000000,0.000000
0.000000,0.922500,1.000000,1.000000,0.000000
0.000000,0.925000,1.000000,1.000000,0.000000
0.000000,0.927500,1.000000,1.000000,0.000000
0.000000,0.930000,1.000000,1.000000,0.000000
0.000000,0.932500,1.000000,1.000000,0.000000
0.000000,0.935000,1.000000,1.000000,0.000000
0.000000,0.937500,1.000000,1.000000,0.000000
0.000000,0.940000,1.000000,1.000000,0.000000
0.000000,0.942500,1.000000,1.000000,0.000000
0.000000,0.945000,1.000000,1.000000,0.000000
0.000000,0.947500,1.000000,1.000000,0.000000
0.000000,0.950000,1.000000,1.000000,0.000000
0.000000,0.952500,1.000000,1.000000,0.000000
0.000000,0.955000,1.000000,1.000000,0.000000
0.000000,0.957500,1.000000,1.000000,0.000000
0.000000,0.960000,1.000000,1.000000,0.000000
0.000000,0.962500,1.000000,1.000000,0.000000
0.000000,0.965000,1.000000,1.000000,0.000000
0.000000,0.967500,1.000000,1.000000,0.000000
0.000000,0.970000,1.000000,1.000000,0.000000
0.000000,0.972500,1.000000,1.000000,0.000000
0.000000,0.975000,1.000000,1.000000,0.000000
0.000000,0.977500,1.000000,1.000000,0.000000
0.000000,0.980000,1.000000,1.000000,0.000000
0.000000,0.982500,1.000000,1.000000,0.000000
0.000000,0.985000,1.000000,1.000000,0.000000
0.000000,0.987500,1.000000,1.000000,0.000000
0.000000,0.990000,1.000000,1.000000,0.000000
0.000000,0.992500,1.000000,1.000000,0.000000
0.000000,0.995000,1.000000,1.000000,0.000000
0.000000,0.997500,1.000000,1.000000,0.000000
