Time,X,Rho,P,U,W
0.000223,0.182177,247795.049956,518386.030540,816.496581,0.000000
0.000223,0.223742,52.940500,41935935.481740,784.411242,0.000000
0.000223,0.302522,59.100780,58334319.273970,1431.626302,0.000000
0.000223,0.370057,72.584376,61298497.827876,482.878896,0.054859
0.000223,0.432363,68.756252,51856536.159242,27.367327,0.135860
0.000223,0.542405,28.188836,18945439.298870,-304.333225,0.000000
0.000223,0.648363,78.817516,72037630.245578,-115.674898,0.000000
0.000223,0.738132,35.566273,26270051.598429,29.672952,0.000000
0.000223,0.861484,35.775006,26501247.562915,-0.791471,0.000000
0.000223,0.949924,81.648860,75580101.166485,-57.297043,0.000000
0.000223,1.036478,36.907077,27722260.358373,50.739268,0.000000
0.000223,1.150000,40.806453,31835900.019769,-92.372034,0.000000
0.000223,1.263514,36.912162,27728371.599879,92.355677,0.000000
0.000223,1.349998,81.835833,75811159.429843,-51.651543,0.000000
0.000223,1.436373,36.979993,27805235.406227,51.391149,0.000000
0.000223,1.547932,42.252553,33377018.420759,-101.462603,0.000000
0.000223,1.652068,42.252475,33376939.192014,0.000167,0.000000
0.000223,1.763636,36.974866,27799038.795828,101.478933,0.000000
0.000223,1.850081,81.646969,75577804.638449,-50.472844,0.000000
0.000223,1.938703,35.669793,26389082.781461,57.651344,0.000000
0.000223,2.069205,31.964905,22713237.105414,17.956279,0.000000
0.000223,2.169256,70.455155,55846449.358791,350.026443,0.098826
0.000223,2.232437,68.846351,52050001.776763,21.381724,0.133850
0.000223,2.342786,28.063349,18830603.405325,-302.566432,0.000000
0.000223,2.450000,76.337035,68981216.038566,-89.143775,0.000000
0.000223,2.557236,28.055384,18824786.432151,89.155580,0.000000
0.000223,2.667826,68.378399,50925338.513049,305.838951,0.144347
0.000223,2.732174,68.378615,50925814.176647,0.000455,0.144342
0.000223,2.842764,28.055372,18824775.241186,-305.839330,0.000000
0.000223,2.950000,76.336895,68981059.999242,-89.155355,0.000000
0.000223,3.057236,28.055383,18824786.086376,89.155280,0.000000
0.000223,3.167826,68.378399,50925338.500524,305.838951,0.144347
0.000223,3.232174,68.378615,50925814.176391,0.000455,0.144342
0.000223,3.342764,28.055372,18824775.239557,-305.839330,0.000000
0.000223,3.450000,76.336894,68981058.152069,-89.155352,0.000000
0.000223,3.557236,28.055222,18824680.762815,89.155452,0.000000
0.000223,3.667835,68.362283,50886027.312589,305.925666,0.144711
0.000223,3.732267,68.215870,50537218.159916,1.090155,0.148027
0.000223,3.850000,25.736063,16959635.969105,-298.258979,0.000000
0.000223,3.967742,68.199474,50497379.315704,298.345683,0.148399
0.000223,4.032259,68.197804,50493320.336609,0.011878,0.148437
0.000223,4.150238,25.665080,16922416.072689,-298.225313,0.000000
0.000223,4.268961,66.660232,46945250.984292,318.620659,0.184153
0.000223,4.334438,67.747214,49547051.877106,29.906435,0.158736
0.000223,4.443018,28.906775,19663893.940969,-328.323219,0.000000
0.000223,4.547527,77.457866,70234654.159052,-63.906511,0.000000
0.000223,4.655996,27.477336,18307323.322676,37.841088,0.000000
0.000223,4.769017,66.757421,47174330.969987,323.842441,0.181847
0.000223,4.834442,67.755264,49566856.562193,30.506160,0.158550
0.000223,4.943018,28.906846,19663934.016829,-328.283241,0.000000
0.000223,5.047527,77.457867,70234654.859017,-63.906448,0.000000
0.000223,5.155996,27.477336,18307323.322917,37.841089,0.000000
0.000223,5.269017,66.757421,47174330.969993,323.842441,0.181847
0.000223,5.334442,67.755264,49566856.562193,30.506160,0.158550
0.000223,5.443018,28.906846,19663934.016829,-328.283241,0.000000
0.000223,5.547527,77.457867,70234654.859017,-63.906448,0.000000
0.000223,5.655996,27.477336,18307323.322917,37.841089,0.000000
0.000223,5.769017,66.757421,47174330.969993,323.842441,0.181847
0.000223,5.834442,67.755264,49566856.562193,30.506160,0.158550
0.000223,5.943018,28.906846,19663934.016829,-328.283241,0.000000
0.000223,6.047527,77.457867,70234654.859017,-63.906448,0.000000
0.000223,6.155996,27.477336,18307323.322917,37.841089,0.000000
0.000223,6.269017,66.757421,47174330.969993,323.842441,0.181847
0.000223,6.334442,67.755264,49566856.562193,30.506160,0.158550
0.000223,6.443018,28.906846,19663934.016829,-328.283241,0.000000
0.000223,6.547527,77.457867,70234654.859017,-63.906448,0.000000
0.000223,6.655996,27.477336,18307323.322917,37.841089,0.000000
0.000223,6.769017,66.757421,47174330.969993,323.842441,0.181847
0.000223,6.834442,67.755264,49566856.562193,30.506160,0.158550
0.000223,6.943018,28.906846,19663934.016829,-328.283241,0.000000
0.000223,7.047527,77.457867,70234654.859017,-63.906448,0.000000
0.000223,7.155996,27.477336,18307323.322919,37.841089,0.000000
0.000223,7.269017,66.757421,47174330.956730,323.842441,0.181847
0.000223,7.334442,67.755263,49566855.785133,30.506160,0.158551
0.000223,7.443018,28.906819,19663915.263945,-328.283205,0.000000
0.000223,7.547529,77.453229,70229196.754026,-63.893882,0.000000
0.000223,7.656512,27.302511,18186318.136171,38.140725,0.000000
0.000223,7.773238,60.862591,33971162.718234,379.252661,0.335056
0.000223,7.849996,54.171605,20246240.215217,242.975803,0.549361
0.000223,7.926724,60.915498,34086430.585399,-243.405445,0.333549
0.000223,8.041641,27.918065,18732613.735764,-381.954679,0.000000
0.000223,8.148359,78.807836,72026258.423530,-116.229749,0.000000
0.000223,8.238138,35.562899,26266462.659163,29.650792,0.000000
0.000223,8.361850,35.569930,26274325.517496,-0.021065,0.000000
0.000223,8.451517,79.086878,72361470.870752,-30.991919,0.000000
0.000223,8.550000,31.132705,21900830.237853,104.624287,0.000000
0.000223,8.648483,79.086901,72361495.901132,-104.624150,0.000000
0.000223,8.738150,35.569998,26274397.437976,30.991659,0.000000
0.000223,8.861850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,8.951517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,9.050000,31.132705,21900830.245531,104.624290,0.000000
0.000223,9.148483,79.086901,72361495.901234,-104.624150,0.000000
