Time,X,Rho,P,U
0.000028,0.005704,8123.336754,5249140224.418932,150.000000
0.000028,0.006670,8123.336754,5249140223.139600,149.999999
0.000028,0.007637,8123.336754,5249140220.570491,149.999998
0.000028,0.008603,8123.336753,5249140216.692682,149.999996
0.000028,0.009569,8123.336753,5249140211.476948,149.999995
0.000028,0.010536,8123.336753,5249140204.888910,149.999994
0.000028,0.011502,8123.336752,5249140196.899633,149.999992
0.000028,0.012468,8123.336752,5249140187.519800,149.999991
0.000028,0.013435,8123.336751,5249140176.896933,149.999990
0.000028,0.014401,8123.336751,5249140165.561178,149.999989
0.000028,0.015367,8123.336750,5249140155.028228,149.999987
0.000028,0.016334,8123.336750,5249140149.155431,149.999986
0.000028,0.017300,8123.336751,5249140157.022336,149.999986
0.000028,0.018266,8123.336754,5249140198.628840,149.999986
0.000028,0.019233,8123.336763,5249140315.375909,149.999988
0.000028,0.020199,8123.336782,5249140587.913101,149.999994
0.000028,0.021165,8123.336821,5249141164.129916,150.000008
0.000028,0.022132,8123.336897,5249142299.095147,150.000037
0.000028,0.023098,8123.337034,5249144406.225204,150.000091
0.000028,0.024064,8123.337271,5249148114.180525,150.000189
0.000028,0.025031,8123.337660,5249154317.830734,150.000353
0.000028,0.025997,8123.338271,5249164205.538852,150.000617
0.000028,0.026964,8123.339185,5249179241.747411,150.001022
0.000028,0.027930,8123.340493,5249201086.544719,150.001615
0.000028,0.028896,8123.342284,5249231443.997140,150.002444
0.000028,0.029863,8123.344636,5249271848.049043,150.003554
0.000028,0.030829,8123.347598,5249323414.580419,150.004979
0.000028,0.031795,8123.351183,5249386604.659178,150.006736
0.000028,0.032762,8123.355356,5249461050.946592,150.008818
0.000028,0.033728,8123.360037,5249545492.732075,150.011192
0.000028,0.034694,8123.365102,5249637845.498099,150.013802
0.000028,0.035661,8123.370401,5249735402.862603,150.016573
0.000028,0.036627,8123.375769,5249835139.259686,150.019419
0.000028,0.037593,8123.381050,5249934058.828905,150.022254
0.000028,0.038560,8123.386112,5250029525.487116,150.025000
0.000028,0.039526,8123.390856,5250119514.175296,150.027596
0.000028,0.040492,8123.395226,5250202742.690726,150.030004
0.000028,0.041459,8123.399203,5250278672.253909,150.032203
0.000028,0.042425,8123.402800,5250347395.416468,150.034196
0.000028,0.043391,8123.406049,5250409453.051940,150.035995
0.000028,0.044358,8123.408995,5250465632.041338,150.037623
0.000028,0.045324,8123.411683,5250516789.511910,150.039103
0.000028,0.046290,8123.414156,5250563732.178900,150.040460
0.000028,0.047257,8123.416448,5250607157.665092,150.041714
0.000028,0.048223,8123.418590,5250647646.463723,150.042882
0.000028,0.049190,8123.420607,5250685683.500504,150.043978
0.000028,0.050156,8123.422520,5250721687.837337,150.045014
0.000028,0.051122,8123.424349,5250756034.933863,150.046001
0.000028,0.052089,8123.426112,5250789064.403387,150.046949
0.000028,0.053055,8123.427825,5250821073.951801,150.047867
0.000028,0.054021,8123.429498,5250852305.740350,150.048762
0.000028,0.054988,8123.431140,5250882933.961467,150.049639
0.000028,0.055954,8123.432756,5250913062.105663,150.050502
0.000028,0.056920,8123.434348,5250942734.973425,150.051351
0.000028,0.057887,8123.435917,5250971964.949264,150.052188
0.000028,0.058853,8123.437462,5251000765.939059,150.053012
0.000028,0.059819,8123.438989,5251029184.090526,150.053825
0.000028,0.060786,8123.440502,5251057314.239373,150.054630
0.000028,0.061752,8123.442010,5251085295.332144,150.055430
0.000028,0.062718,8123.443520,5251113285.767270,150.056229
0.000028,0.063685,8123.445040,5251141427.530608,150.057032
0.000028,0.064651,8123.446574,5251169812.971739,150.057841
0.000028,0.065617,8123.448122,5251198467.871831,150.058659
0.000028,0.066584,8123.449682,5251227358.991171,150.059483
0.000028,0.067550,8123.451251,5251256425.244052,150.060313
0.000028,0.068516,8123.452826,5251285622.813624,150.061146
0.000028,0.069483,8123.454411,5251314968.814802,150.061984
0.000028,0.070449,8123.456013,5251344567.887785,150.062828
0.000028,0.071415,8123.457642,5251374611.322372,150.063684
0.000028,0.072382,8123.459313,5251405347.216617,150.064559
0.000028,0.073348,8123.461038,5251437029.473470,150.065460
0.000028,0.074314,8123.462827,5251469860.080781,150.066393
0.000028,0.075281,8123.464683,5251503941.022698,150.067361
0.000028,0.076247,8123.466603,5251539249.003304,150.068365
0.000028,0.077213,8123.468578,5251575639.270723,150.069400
0.000028,0.078180,8123.470594,5251612876.890725,150.070461
0.000028,0.079146,8123.472637,5251650686.962411,150.071539
0.000028,0.080112,8123.474694,5251688811.877506,150.072628
0.000028,0.081079,8123.476756,5251727063.626025,150.073720
0.000028,0.082045,8123.478821,5251765362.200828,150.074814
0.000028,0.083011,8123.480894,5251803755.491700,150.075911
0.000028,0.083978,8123.482986,5251842420.501003,150.077014
0.000028,0.084944,8123.485114,5251881648.618601,150.078131
0.000028,0.085910,8123.487299,5251921819.471360,150.079275
0.000028,0.086877,8123.489566,5251963367.866698,150.080455
0.000028,0.087843,8123.491938,5252006747.931242,150.081686
0.000028,0.088809,8123.494440,5252052397.934197,150.082980
0.000028,0.089776,8123.497089,5252100708.912526,150.084349
0.000028,0.090742,8123.499904,5252152000.206552,150.085802
0.000028,0.091708,8123.502894,5252206504.905233,150.087346
0.000028,0.092675,8123.506066,5252264367.933503,150.088985
0.000028,0.093641,8123.509423,5252325658.210099,150.090722
0.000028,0.094607,8123.512966,5252390394.847381,150.092557
0.000028,0.095574,8123.516696,5252458585.000401,150.094491
0.000028,0.096540,8123.520616,5252530268.598432,150.096525
0.000028,0.097506,8123.524733,5252605562.169903,150.098661
0.000028,0.098473,8123.529062,5252684689.621283,150.100906
0.000028,0.099439,8123.533621,5252767978.144087,150.103268
0.000028,0.100405,8123.538426,5252855776.058945,150.105758
0.000028,0.101372,8123.543471,5252948201.682118,150.108380
0.000028,0.102338,8123.548688,5253044533.247498,150.111119
0.000028,0.103304,8123.553848,5253141860.651357,150.113904
0.000028,0.104271,8123.558377,5253232282.527055,150.116536
0.000028,0.105237,8123.560980,5253297381.829600,150.118546
0.000028,0.106203,8123.558976,5253297893.250479,150.118922
0.000028,0.107170,8123.547117,5253155389.164671,150.115624
0.000028,0.108136,8123.515674,5252721588.315673,150.104771
0.000028,0.109102,8123.447464,5251729884.610955,150.079336
0.000028,0.110069,8123.313560,5249723540.513108,150.027201
0.000028,0.111035,8123.067527,5245956605.013791,149.928441
0.000028,0.112001,8122.638333,5239268005.808480,149.751833
0.000028,0.112968,8121.922571,5227937124.423880,149.450780
0.000028,0.113934,8120.777252,5209540282.456335,148.959164
0.000028,0.114901,8119.015139,5180840233.759293,148.187990
0.000028,0.115868,8116.405050,5137751496.056080,147.024000
0.000028,0.116836,8112.679627,5075428373.108375,145.331614
0.000028,0.117804,8107.552378,4988515047.239814,142.959361
0.000028,0.118772,8100.744351,4871575405.081396,139.751418
0.000028,0.119742,8092.018592,4719685463.307287,135.563937
