Time,X,Rho,P,U
0.200000,0.001250,1.000000,1.000000,0.000000
0.200000,0.003750,1.000000,1.000000,-0.000000
0.200000,0.006250,1.000000,1.000000,-0.000000
0.200000,0.008750,1.000000,1.000000,-0.000000
0.200000,0.011250,1.000000,1.000000,-0.000000
0.200000,0.013750,1.000000,1.000000,-0.000000
0.200000,0.016250,1.000000,1.000000,-0.000000
0.200000,0.018750,1.000000,1.000000,-0.000000
0.200000,0.021250,1.000000,1.000000,-0.000000
0.200000,0.023750,1.000000,1.000000,-0.000000
0.200000,0.026250,1.000000,1.000000,-0.000000
0.200000,0.028750,1.000000,1.000000,-0.000000
0.200000,0.031250,1.000000,1.000000,-0.000000
0.200000,0.033750,1.000000,1.000000,-0.000000
0.200000,0.036250,1.000000,1.000000,-0.000000
0.200000,0.038750,1.000000,1.000000,0.000000
0.200000,0.041250,1.000000,1.000000,0.000000
0.200000,0.043750,1.000000,1.000000,-0.000000
0.200000,0.046250,1.000000,1.000000,0.000000
0.200000,0.048750,1.000000,1.000000,-0.000000
0.200000,0.051250,1.000000,1.000000,-0.000000
0.200000,0.053750,1.000000,1.000000,-0.000000
0.200000,0.056250,1.000000,1.000000,-0.000000
0.200000,0.058750,1.000000,1.000000,-0.000000
0.200000,0.061250,1.000000,1.000000,-0.000000
0.200000,0.063750,1.000000,1.000000,-0.000000
0.200000,0.066250,1.000000,1.000000,-0.000000
0.200000,0.068750,1.000000,1.000000,-0.000000
0.200000,0.071250,1.000000,1.000000,-0.000000
0.200000,0.073750,1.000000,1.000000,0.000000
0.200000,0.076250,1.000000,1.000000,0.000000
0.200000,0.078750,1.000000,1.000000,-0.000000
0.200000,0.081250,1.000000,1.000000,-0.000000
0.200000,0.083750,1.000000,1.000000,-0.000000
0.200000,0.086250,1.000000,1.000000,-0.000000
0.200000,0.088750,1.000000,1.000000,-0.000000
0.200000,0.091250,1.000000,1.000000,0.000000
0.200000,0.093750,1.000000,1.000000,0.000000
0.200000,0.096250,1.000000,1.000000,0.000000
0.200000,0.098750,1.000000,1.000000,-0.000000
0.200000,0.101250,1.000000,1.000000,-0.000000
0.200000,0.103750,1.000000,1.000000,-0.000000
0.200000,0.106250,1.000000,1.000000,0.000000
0.200000,0.108750,1.000000,1.000000,0.000000
0.200000,0.111250,1.000000,1.000000,0.000000
0.200000,0.113750,1.000000,1.000000,0.000000
0.200000,0.116250,1.000000,1.000000,0.000000
0.200000,0.118750,1.000000,1.000000,-0.000000
0.200000,0.121250,1.000000,1.000000,0.000000
0.200000,0.123750,1.000000,1.000000,0.000000
0.200000,0.126250,1.000000,1.000000,0.000000
0.200000,0.128750,1.000000,1.000000,0.000000
0.200000,0.131250,1.000000,1.000000,0.000000
0.200000,0.133750,1.000000,1.000000,0.000000
0.200000,0.136250,1.000000,1.000000,0.000000
0.200000,0.138750,1.000000,1.000000,-0.000000
0.200000,0.141250,1.000000,1.000000,-0.000000
0.200000,0.143750,1.000000,1.000000,-0.000000
0.200000,0.146250,1.000000,1.000000,0.000000
0.200000,0.148750,1.000000,1.000000,0.000000
0.200000,0.151250,1.000000,1.000000,0.000000
0.200000,0.153750,1.000000,1.000000,0.000000
0.200000,0.156250,1.000000,1.000000,0.000000
0.200000,0.158750,1.000000,1.000000,0.000000
0.200000,0.161250,1.000000,1.000000,0.000000
0.200000,0.163750,1.000000,1.000000,-0.000000
0.200000,0.166250,1.000000,1.000000,-0.000000
0.200000,0.168750,1.000000,1.000000,-0.000000
0.200000,0.171250,1.000000,1.000000,-0.000000
0.200000,0.173750,1.000000,1.000000,-0.000000
0.200000,0.176250,1.000000,1.000000,-0.000000
0.200000,0.178750,1.000000,1.000000,0.000000
0.200000,0.181250,1.000000,1.000000,0.000000
0.200000,0.183750,1.000000,1.000000,0.000000
0.200000,0.186250,1.000000,1.000000,0.000000
0.200000,0.188750,1.000000,1.000000,0.000000
0.200000,0.191250,1.000000,1.000000,0.000000
0.200000,0.193750,1.000000,1.000000,0.000000
0.200000,0.196250,1.000000,1.000000,-0.000000
0.200000,0.198750,1.000000,1.000000,-0.000000
0.200000,0.201250,1.000000,1.000000,-0.000000
0.200000,0.203750,1.000000,1.000000,0.000000
0.200000,0.206250,1.000000,1.000000,0.000000
0.200000,0.208750,1.000000,1.000000,0.000000
0.200000,0.211250,1.000000,1.000000,0.000000
0.200000,0.213750,1.000000,1.000000,0.000000
0.200000,0.216250,1.000000,1.000000,0.000000
0.200000,0.218750,1.000000,1.000000,0.000000
0.200000,0.221250,1.000000,1.000000,0.000000
0.200000,0.223750,1.000000,1.000000,0.000000
0.200000,0.226250,1.000000,1.000000,0.000000
0.200000,0.228750,1.000000,1.000000,0.000000
0.200000,0.231250,0.999999,0.999999,0.000000
0.200000,0.233750,0.999998,0.999998,0.000001
0.200000,0.236250,0.999995,0.999993,0.000003
0.200000,0.238750,0.999987,0.999982,0.000009
0.200000,0.241250,0.999968,0.999955,0.000024
0.200000,0.243750,0.999923,0.999892,0.000059
0.200000,0.246251,0.999824,0.999754,0.000138
0.200000,0.248751,0.999619,0.999467,0.000307
0.200000,0.251253,0.999218,0.998905,0.000648
0.200000,0.253756,0.998486,0.997881,0.001294
0.200000,0.256261,0.997240,0.996138,0.002433
0.200000,0.258770,0.995273,0.993389,0.004303
0.200000,0.261286,0.992396,0.989370,0.007150
0.200000,0.263810,0.988489,0.983921,0.011172
0.200000,0.266345,0.983540,0.977033,0.016461
0.200000,0.268895,0.977646,0.968845,0.022978
0.200000,0.271461,0.970970,0.959596,0.030573
0.200000,0.274045,0.963700,0.949552,0.039045
0.200000,0.276650,0.956000,0.938948,0.048188
0.200000,0.279276,0.948001,0.927967,0.057831
0.200000,0.281925,0.939791,0.916736,0.067850
0.200000,0.284597,0.931431,0.905340,0.078158
0.200000,0.287293,0.922959,0.893833,0.088702
0.200000,0.290015,0.914401,0.882251,0.099447
0.200000,0.292762,0.905773,0.870618,0.110372
0.200000,0.295535,0.897086,0.858951,0.121461
0.200000,0.298336,0.888348,0.847261,0.132706
0.200000,0.301164,0.879565,0.835558,0.144102
0.200000,0.304021,0.870743,0.823848,0.155644
0.200000,0.306906,0.861883,0.812137,0.167330
0.200000,0.309822,0.852990,0.800429,0.179159
0.200000,0.312768,0.844064,0.788728,0.191132
0.200000,0.315746,0.835108,0.777036,0.203247
0.200000,0.318756,0.826123,0.765358,0.215507
0.200000,0.321799,0.817110,0.753693,0.227913
0.200000,0.324876,0.808070,0.742046,0.240466
0.200000,0.327987,0.799004,0.730416,0.253169
0.200000,0.331134,0.789912,0.718807,0.266024
0.200000,0.334317,0.780794,0.707219,0.279034
0.200000,0.337538,0.771652,0.695654,0.292201
0.200000,0.340797,0.762486,0.684112,0.305529
